idx_original,y_true,y_pred,y_prob,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN.5,CONVIVEN.6,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO_BIN_0,GENERO_BIN_1,GENERO_BIN_2,ORIENTSEX.BN_1,ORIENTSEX.BN_2,ORIENTSEX.BN_3
3001,1,0,0.2979397781299525,1,0.0,15.0,0.0,3,3,1.0,1.0,0.0,0.0,1.0,0,3.0,0.4,2.625,3.0,0.734375,2.7142857142857144,3.0,0.489795918367347,4.8,0.1599999999999999,4.0,0,1,0,1,0,0
1694,0,0,0.2979397781299525,1,0.0,16.0,1.0,3,3,1.0,1.0,0.0,0.0,1.0,0,4.0,0.0,2.375,2.0,0.734375,3.4285714285714284,4.0,0.5306122448979593,3.8,0.1599999999999999,3.0,0,1,0,0,1,0
677,0,0,0.2979397781299525,1,0.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.6,0.24,3.0,3.0,0.75,2.857142857142857,3.0,0.1224489795918367,4.4,0.64,5.0,1,0,0,1,0,0
840,0,1,0.7824773413897281,1,0.0,17.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.25,2.0,0.6875,3.0,3.0,0.5714285714285714,4.0,0.0,3.0,0,1,0,0,1,0
1903,0,1,0.509393451422437,2,1.0,17.0,1.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.25,2.0,0.4375,3.5714285714285716,4.0,0.2448979591836734,3.2,0.1599999999999999,4.0,1,0,0,1,0,0
1172,1,1,0.509393451422437,1,0.0,16.0,0.0,3,2,1.0,1.0,0.0,0.0,1.0,0,2.8,0.5599999999999999,2.5,2.5,0.75,3.2857142857142856,4.0,1.0612244897959184,4.4,0.64,5.0,1,0,0,1,0,0
1190,1,1,0.7824773413897281,1,0.0,15.0,0.0,2,0,0.0,1.0,0.0,0.0,0.0,0,3.0,0.4,1.875,2.0,0.609375,3.857142857142857,4.0,0.1224489795918367,4.6,0.24,1.0,0,1,0,1,0,0
942,1,1,0.509393451422437,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,1,2.8,0.5599999999999999,2.625,2.5,0.984375,3.2857142857142856,3.0,0.489795918367347,3.6,3.04,1.0,0,1,0,1,0,0
1579,1,1,0.509393451422437,1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,1.0,0,3.6,0.24,2.5,2.0,0.5,3.5714285714285716,4.0,0.2448979591836734,4.0,0.4,1.0,0,1,0,1,0,0
1290,0,1,0.7824773413897281,1,0.0,15.0,0.0,2,2,1.0,1.0,0.0,0.0,0.0,0,3.2,0.1599999999999999,2.375,2.5,0.484375,2.7142857142857144,3.0,0.2040816326530612,3.8,0.1599999999999999,3.0,0,1,0,0,1,0
1251,1,1,0.509393451422437,1,0.0,14.0,1.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.25,2.0,0.4375,4.0,4.0,0.0,4.2,0.1599999999999999,2.0,0,1,0,1,0,0
1429,1,1,0.509393451422437,1,1.0,14.0,1.0,2,2,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.5,2.5,0.25,2.2857142857142856,3.0,0.7755102040816327,3.4,0.24,3.0,0,1,0,1,0,0
1945,1,1,0.509393451422437,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.5,2.5,1.75,2.4285714285714284,3.0,1.673469387755102,3.8,2.56,1.0,1,0,0,1,0,0
315,0,1,0.509393451422437,1,0.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.8,0.1599999999999999,2.625,3.0,0.734375,3.5714285714285716,4.0,0.2448979591836734,4.8,0.1599999999999999,2.0,1,0,0,1,0,0
3169,0,0,0.2979397781299525,1,0.0,16.0,0.0,2,2,1.0,1.0,0.0,0.0,0.0,0,3.4,0.24,2.375,2.5,0.484375,3.4285714285714284,4.0,0.5306122448979592,4.0,0.4,4.0,1,0,0,1,0,0
2055,1,1,0.509393451422437,1,0.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.4,0.24,2.625,3.0,1.234375,3.142857142857143,3.0,0.6938775510204082,3.8,0.5599999999999999,2.0,1,0,0,1,0,0
1410,1,1,0.509393451422437,2,1.0,17.0,1.0,2,2,1.0,0.0,1.0,0.0,0.0,1,1.6,0.24,2.625,3.0,0.734375,2.0,2.0,0.5714285714285714,3.4,1.84,2.0,0,1,0,0,1,0
3137,0,0,0.2979397781299525,2,1.0,15.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,1,3.6,0.24,2.25,2.5,0.6875,2.5714285714285716,3.0,1.959183673469388,2.6,0.64,1.0,0,1,0,1,0,0
1904,0,1,0.509393451422437,1,0.0,16.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,1,3.4,0.64,2.25,2.0,0.9375,3.857142857142857,4.0,0.1224489795918367,3.2,0.5599999999999999,1.0,0,1,0,1,0,0
3034,1,1,0.7824773413897281,1,1.0,15.0,1.0,2,2,0.0,1.0,0.0,0.0,0.0,0,3.0,1.2,2.25,2.0,0.9375,2.857142857142857,3.0,0.4081632653061224,4.6,0.24,2.0,0,1,0,0,1,0
3583,0,0,0.2979397781299525,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.0,0.4,2.125,2.0,1.109375,3.857142857142857,4.0,0.1224489795918367,4.8,0.1599999999999999,1.0,0,1,0,1,0,0
1707,1,1,0.509393451422437,1,0.0,17.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0,2.8,0.1599999999999999,1.875,2.0,0.609375,3.5714285714285716,4.0,0.2448979591836734,4.0,0.4,1.0,1,0,0,1,0,0
3152,0,0,0.2979397781299525,2,1.0,15.0,0.0,2,2,1.0,0.0,1.0,0.0,0.0,0,3.0,0.0,2.75,3.0,0.1875,3.7142857142857144,4.0,0.489795918367347,3.8,0.1599999999999999,1.0,0,1,0,1,0,0
1670,1,0,0.2979397781299525,1,1.0,17.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,0,0,1,0,1,0
2347,1,1,0.509393451422437,1,0.0,15.0,1.0,0,1,1.0,1.0,0.0,0.0,0.0,0,3.2,0.1599999999999999,2.875,3.0,0.359375,3.7142857142857144,4.0,0.2040816326530612,3.2,0.1599999999999999,1.0,0,1,0,1,0,0
3733,0,0,0.2979397781299525,1,1.0,16.0,1.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.6,0.24,2.0,2.0,0.5,3.2857142857142856,4.0,1.0612244897959184,3.8,0.5599999999999999,3.0,1,0,0,1,0,0
555,1,1,0.7824773413897281,1,0.0,17.0,0.0,3,0,1.0,1.0,0.0,0.0,1.0,0,3.2,0.5599999999999999,2.125,2.0,1.109375,2.7142857142857144,3.0,1.0612244897959184,5.0,0.0,1.0,0,1,0,1,0,0
1337,0,1,0.509393451422437,1,1.0,15.0,0.0,3,2,1.0,0.0,0.0,0.0,0.0,0,2.6,0.64,2.125,2.0,0.609375,2.7142857142857144,4.0,2.2040816326530615,3.6,2.24,5.0,1,0,0,1,0,0
2940,0,1,0.7824773413897281,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.6,0.24,2.375,2.0,0.734375,1.7142857142857142,2.0,0.489795918367347,2.0,0.4,1.0,0,1,0,1,0,0
2774,0,0,0.2979397781299525,1,0.0,17.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0,3.4,0.64,2.375,2.5,0.984375,4.0,4.0,0.0,4.6,0.6399999999999999,2.0,1,0,0,1,0,0
297,0,1,0.509393451422437,1,0.0,16.0,1.0,3,2,1.0,1.0,0.0,0.0,1.0,0,2.4,1.04,3.125,3.5,1.109375,1.8571428571428572,1.0,1.2653061224489797,2.8,2.56,2.0,0,1,0,1,0,0
3541,1,1,0.7824773413897281,2,1.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.0,0.0,2.125,2.0,0.109375,3.3685921480370093,3.580145036259065,0.483649580276325,2.8,0.1599999999999999,1.0,1,0,0,0,1,0
1846,1,1,0.509393451422437,1,0.0,16.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,0,3.4,0.24,2.125,2.0,1.359375,3.857142857142857,4.0,0.1224489795918367,4.8,0.1599999999999999,3.0,0,1,0,1,0,0
2879,0,1,0.509393451422437,1,0.0,16.0,0.0,4,4,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.25,2.0,1.4375,3.4285714285714284,4.0,0.5306122448979592,4.6,0.24,3.0,1,0,0,1,0,0
3457,0,1,0.509393451422437,1,1.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.2,0.5599999999999999,2.5,2.5,0.75,2.4285714285714284,3.0,0.5306122448979592,3.4,0.24,1.0,0,1,0,1,0,0
3317,1,1,0.509393451422437,1,0.0,15.0,1.0,4,4,1.0,0.0,0.0,0.0,0.0,1,4.0,0.0,2.625,2.5,0.984375,4.0,4.0,0.0,3.4,0.64,5.0,1,0,0,1,0,0
1486,0,1,0.509393451422437,1,0.0,16.0,0.0,2,0,1.0,1.0,0.0,0.0,0.0,0,2.4,1.4400000000000002,2.5,2.5,1.75,3.857142857142857,4.0,0.1224489795918367,4.2,0.5599999999999999,5.0,1,0,0,1,0,0
1388,0,1,0.509393451422437,1,0.0,15.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,1,2.6,0.24,2.25,2.5,1.1875,2.5714285714285716,2.0,1.673469387755102,4.0,0.4,1.0,0,1,0,1,0,0
1142,0,1,0.7824773413897281,1,0.0,16.0,1.0,2,2,1.0,0.0,0.0,0.0,1.0,0,3.4,0.24,2.875,3.0,0.609375,3.7142857142857144,4.0,0.489795918367347,3.0,0.4,2.0,1,0,0,1,0,0
650,1,1,0.509393451422437,1,0.0,17.0,0.0,4,3,0.0,1.0,0.0,0.0,0.0,0,3.0,0.4,2.5,2.5,0.75,4.0,4.0,0.0,5.0,0.0,5.0,1,0,0,1,0,0
998,1,1,0.509393451422437,1,0.0,15.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0,2.4,0.24,2.625,2.5,0.484375,3.857142857142857,4.0,0.1224489795918367,3.6,0.24,1.0,1,0,0,1,0,0
972,0,1,0.7824773413897281,1,0.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.2,0.1599999999999999,2.144218710810133,2.0,0.3571558342138914,3.857142857142857,4.0,0.1224489795918367,4.2,0.1599999999999999,1.0,1,0,0,1,0,0
3349,1,0,0.2979397781299525,1,1.0,14.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,3.8,0.1599999999999999,2.25,2.5,1.1875,3.857142857142857,4.0,0.1224489795918367,4.6,0.24,4.0,1,0,0,1,0,0
2077,0,0,0.2979397781299525,1,0.0,16.0,0.0,0,1,1.0,1.0,0.0,0.0,1.0,0,2.7979924717691342,0.1592131093860445,2.375,2.0,1.234375,3.0,3.0,0.0,4.0,0.4,1.0,1,0,0,1,0,0
351,1,1,0.509393451422437,1,0.0,14.0,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0,1.8,0.16,2.75,3.0,0.6875,2.142857142857143,2.0,1.2653061224489797,4.4,0.24,3.0,0,1,0,0,1,0
3462,0,1,0.509393451422437,1,0.0,16.0,1.0,4,3,1.0,1.0,0.0,0.0,1.0,0,1.2,0.16,1.875,1.0,1.359375,3.613544389929449,4.0,0.2074080481906637,4.8,0.1599999999999999,2.0,0,1,0,0,1,0
748,1,1,0.509393451422437,1,0.0,17.0,1.0,3,2,1.0,1.0,0.0,0.0,1.0,0,2.8,0.1599999999999999,2.875,3.0,0.859375,3.7142857142857144,4.0,0.2040816326530612,4.8,0.1599999999999999,2.0,0,1,0,1,0,0
