idx_original,y_pred,y_prob,V.SUM.TOTAL,P.SUM.TOTAL
1,1,0.5245627432736549,1.0,1.0
2,1,0.6722640827772208,2.0,0.0
5,1,0.7270066034501156,0.0,0.0
11,0,0.4432322131090875,0.0,0.0
13,0,0.4771530659135308,0.0,0.0
22,1,0.5340246167721527,2.0,0.0
23,1,0.8910093668185579,5.0,1.0
27,1,0.5614576705234636,0.0,0.0
29,1,0.8072087452682606,0.0,0.0
45,0,0.3981675912915193,2.0,0.0
46,1,0.6038937812174429,5.0,2.0
47,0,0.2896680331529466,0.0,0.0
49,1,0.8573270389953547,0.0,0.0
51,0,0.3549989127414766,4.0,0.0
53,1,0.5567509150475234,0.0,0.0
58,0,0.3551016149080064,1.0,0.0
64,1,0.6442960774170234,0.0,0.0
77,1,0.6370870948839068,2.0,0.0
80,1,0.7354426164391212,1.0,0.0
81,0,0.4090264013207482,0.0,0.0
83,0,0.4513332457913042,1.0,1.0
88,1,0.5735828399571569,0.0,0.0
97,0,0.4866772035595101,0.0,0.0
98,1,0.78450640805864,10.0,3.0
103,0,0.4501915758641294,9.0,4.0
105,1,0.8728809152568058,2.0,2.0
110,1,0.6275436292441555,6.0,3.0
118,0,0.2654461034812382,2.0,0.0
119,1,0.95161714863671,6.0,0.0
120,1,0.5161873113733483,0.0,0.0
122,0,0.2769597084685888,0.0,0.0
125,1,0.6208344653589752,0.0,0.0
129,0,0.3574318682271056,4.0,1.0
135,1,0.7951902713978937,0.0,0.0
148,0,0.3296475203858019,0.0,0.0
150,0,0.2481512807676109,0.0,0.0
155,1,0.5566592737613969,2.0,0.0
159,0,0.3705384922592978,16.0,4.0
164,1,0.7436093060171787,0.0,0.0
167,0,0.46149737540665,0.0,0.0
170,1,0.5594659337385646,0.0,1.0
175,0,0.494324346456078,2.0,0.0
182,1,0.6474527534773782,0.0,0.0
186,0,0.4945726147843089,2.0,0.0
192,1,0.6738963532977443,4.0,3.0
194,1,0.6253725191274082,0.0,0.0
195,0,0.3328395625110573,0.0,0.0
202,1,0.8544100924385304,3.0,0.0
203,1,0.5935452159316867,8.0,0.0
207,1,0.5006919731781381,0.0,0.0
215,1,0.8546214470592189,1.0,0.0
227,1,0.6063577150045868,5.0,3.0
233,0,0.3750266775454258,0.0,0.0
236,1,0.8649362384744205,0.0,0.0
238,1,0.7274093076434548,0.0,0.0
241,1,0.8998914423929364,0.0,0.0
250,0,0.3098093924854571,0.0,0.0
254,1,0.9562748904456436,4.0,1.0
255,0,0.3211466924818443,1.0,1.0
256,0,0.4862736790325171,0.0,0.0
258,0,0.2066967540093397,4.0,1.0
260,0,0.3873517441025258,1.0,0.0
272,1,0.6769231400264115,12.0,1.0
281,1,0.5585074537987053,2.0,0.0
292,1,0.7906621154621526,4.0,7.0
295,0,0.2724693983161003,0.0,0.0
305,1,0.6296944039325411,0.0,0.0
306,0,0.1284373111828549,0.0,0.0
312,1,0.5735557554230678,0.0,0.0
317,0,0.3042669281577496,1.0,0.0
320,0,0.2802697379251164,0.0,0.0
321,0,0.4045889470912496,0.0,0.0
325,0,0.3412741382249605,0.0,0.0
327,1,0.720629399112577,0.0,2.0
331,1,0.8598565657229409,0.0,0.0
335,0,0.4976541413974986,0.0,0.0
337,1,0.538598795914175,2.0,0.0
340,1,0.8356024372785186,0.0,0.0
342,1,0.7292671128824108,0.0,0.0
343,1,0.5548507566332954,0.0,0.0
345,1,0.5377856580164467,1.0,0.0
352,0,0.3622825088759169,1.0,0.0
363,0,0.4335570419551111,1.0,1.0
364,1,0.6785312097617683,6.0,2.0
369,1,0.8321753640862497,0.0,0.0
373,0,0.3892421487288507,0.0,0.0
382,1,0.5497350567701427,3.0,0.0
386,0,0.4315903349821896,1.0,1.0
395,0,0.208246188802302,5.0,4.0
418,1,0.5703771641101182,0.0,0.0
423,1,0.7474642240326731,2.0,1.0
428,1,0.8086715197218782,1.0,0.0
436,0,0.4097650772387297,5.0,2.0
437,1,0.5224821055965443,0.0,0.0
443,1,0.7253908987605764,14.0,1.0
445,0,0.1603374604251066,1.0,0.0
447,1,0.5777450729110427,6.0,2.0
453,1,0.8037791024515968,0.0,0.0
473,1,0.7742262551243062,3.0,2.0
474,0,0.4515694015137854,1.0,0.0
475,1,0.5643034193951277,8.0,2.0
477,1,0.6778867558090353,0.0,0.0
487,1,0.5119628847365285,0.0,0.0
491,1,0.8476384185230796,0.0,0.0
493,1,0.8505299955803991,0.0,0.0
498,1,0.7782836129630233,1.0,0.0
499,0,0.4900354838837586,0.0,0.0
504,1,0.507295495903136,1.0,0.0
508,0,0.3784755768590036,3.0,0.0
511,1,0.5707834548309775,6.0,1.0
513,1,0.5026949214017854,3.0,0.0
516,0,0.2104531965381161,3.0,0.0
519,1,0.6335026776288823,0.0,0.0
520,0,0.4181498178722079,2.0,0.0
521,0,0.3485576668283642,0.0,0.0
524,0,0.2314761838284253,0.0,0.0
525,0,0.1778273933625138,0.0,0.0
528,1,0.5086146183467362,0.0,0.0
529,0,0.3511580692883296,0.0,0.0
537,0,0.2558939633029339,0.0,0.0
540,0,0.4338118437632996,8.0,2.0
541,0,0.4949433314876316,2.0,1.0
544,0,0.4622085894389252,6.0,0.0
545,0,0.3600551169623727,0.0,0.0
565,0,0.3115558380686217,0.0,0.0
566,1,0.8745796028374134,1.0,0.0
569,0,0.3384656571279183,2.0,1.0
581,0,0.3629186754197291,1.0,0.0
582,1,0.7297456034651603,1.0,0.0
584,0,0.4878744046193082,1.0,2.0
588,0,0.2838531246286593,3.0,2.0
591,0,0.1635841366225721,8.0,2.0
595,0,0.4493790340711015,0.0,0.0
602,0,0.4023829148820037,0.0,0.0
610,0,0.3317428242964667,8.0,0.0
611,0,0.3585055286704146,0.0,0.0
613,1,0.6294529440197398,0.0,0.0
619,1,0.6961025873092235,0.0,0.0
620,1,0.508464565683639,2.0,0.0
634,0,0.4157157634250673,1.0,1.0
635,0,0.2824034163247595,4.0,2.0
638,1,0.6310769629734596,0.0,1.0
640,0,0.304415016831965,1.0,0.0
644,1,0.5834720697896835,0.0,0.0
648,1,0.6701415738165379,7.0,1.0
653,1,0.5960089334842888,0.0,0.0
655,0,0.3841797097069935,3.0,1.0
662,1,0.5090973037485365,5.0,0.0
664,0,0.2544520384146295,1.0,0.0
667,1,0.834205722719323,0.0,0.0
668,1,0.6977374962599164,0.0,0.0
671,0,0.4968508499208273,0.0,1.0
674,1,0.5476731805401309,1.0,0.0
681,0,0.4451958086816273,1.0,0.0
698,1,0.5017088083590333,0.0,0.0
700,1,0.5568102307772093,1.0,0.0
701,1,0.649868470010448,1.0,0.0
702,0,0.3948410397652999,1.0,1.0
703,0,0.3824312005816059,0.0,1.0
708,1,0.5724587156892429,3.0,2.0
712,1,0.5673773508976138,0.0,0.0
721,1,0.8045448654817,0.0,0.0
725,0,0.4191043385998416,1.0,0.0
727,0,0.4110714817460442,0.0,0.0
733,0,0.3196694750656239,6.0,4.0
739,1,0.6023798034631329,6.0,1.0
742,1,0.5046377008208704,2.0,0.0
745,1,0.5083664572539962,0.0,0.0
752,1,0.6229666085978429,0.0,1.0
758,1,0.5259018150777487,1.0,0.0
764,1,0.5651948022418132,0.0,0.0
769,1,0.6323975488464826,3.0,0.0
777,1,0.5759498350981105,1.0,0.0
778,1,0.7409324976403285,6.0,0.0
780,1,0.7090216908460272,5.0,0.0
789,1,0.8986731987457944,5.0,0.0
796,0,0.4597858330449353,2.0,0.0
798,0,0.4876913582490668,1.0,0.0
799,0,0.2615255622252669,0.0,0.0
801,0,0.2400034687344523,7.0,1.0
807,0,0.3002823831436729,1.0,0.0
809,0,0.2989025931379562,2.0,0.0
814,0,0.441174995380942,0.0,0.0
815,0,0.2951203970108289,0.0,0.0
816,0,0.3650491957474823,0.0,0.0
