idx_original,y_pred,y_prob,V.SUM.TOTAL,P.SUM.TOTAL
1,1,0.554482102394104,1.0,1.0
2,1,0.6363663077354431,2.0,0.0
5,1,0.6591023802757263,0.0,0.0
11,1,0.5028908252716064,0.0,0.0
13,1,0.6063053607940674,0.0,0.0
23,1,0.8100140690803528,5.0,1.0
25,1,0.6458804607391357,2.0,0.0
28,1,0.5665588974952698,0.0,1.0
30,1,0.721530556678772,4.0,0.0
47,0,0.4534701108932495,0.0,0.0
48,1,0.7815952897071838,0.0,0.0
49,1,0.7056870460510254,0.0,0.0
51,0,0.4431856870651245,4.0,0.0
53,0,0.4746011793613434,0.0,0.0
55,0,0.4424193203449249,2.0,0.0
61,1,0.6746783256530762,2.0,2.0
62,1,0.5577384233474731,1.0,0.0
67,1,0.5639786720275879,1.0,2.0
86,1,0.6157258152961731,0.0,0.0
88,1,0.53803950548172,0.0,0.0
94,1,0.6365344524383545,3.0,0.0
103,1,0.5297883152961731,9.0,4.0
112,0,0.4509305953979492,0.0,0.0
115,1,0.625993013381958,0.0,0.0
123,1,0.6545738577842712,0.0,0.0
124,1,0.5788971185684204,4.0,2.0
125,1,0.6064475774765015,0.0,0.0
131,1,0.7684036493301392,0.0,0.0
135,1,0.7692418694496155,0.0,0.0
140,1,0.7193986773490906,1.0,1.0
152,0,0.4943407773971557,0.0,0.0
153,1,0.796669065952301,15.0,11.0
155,1,0.5546776652336121,2.0,0.0
158,0,0.4946773648262024,2.0,1.0
161,0,0.403297483921051,0.0,0.0
165,0,0.4994999170303345,0.0,0.0
171,1,0.524472713470459,0.0,0.0
175,1,0.5014306306838989,2.0,0.0
178,1,0.6619905829429626,0.0,0.0
183,1,0.514233410358429,0.0,0.0
185,1,0.7196403741836548,5.0,0.0
190,1,0.6111602783203125,1.0,0.0
194,1,0.6067575216293335,0.0,0.0
202,1,0.7485126852989197,3.0,0.0
203,1,0.6499654054641724,8.0,0.0
209,1,0.6930567622184753,0.0,0.0
210,1,0.6701880097389221,4.0,0.0
215,1,0.7539314031600952,1.0,0.0
226,0,0.4656589925289154,4.0,2.0
234,0,0.4714612960815429,1.0,0.0
243,1,0.600679874420166,1.0,0.0
250,1,0.503000795841217,0.0,0.0
251,1,0.5934387445449829,0.0,1.0
252,0,0.4532550275325775,2.0,2.0
256,1,0.6247437000274658,0.0,0.0
260,0,0.4959200620651245,1.0,0.0
263,1,0.6055637001991272,0.0,1.0
265,1,0.6057819128036499,0.0,0.0
269,1,0.5316667556762695,13.0,2.0
272,1,0.6706210374832153,12.0,1.0
273,1,0.6892797946929932,3.0,1.0
274,1,0.5625903010368347,1.0,0.0
276,1,0.8259713649749756,1.0,0.0
277,1,0.6706137657165527,0.0,0.0
280,1,0.7368566989898682,5.0,1.0
284,1,0.7896062731742859,0.0,0.0
295,0,0.486501544713974,0.0,0.0
303,0,0.4616436660289764,2.0,0.0
305,1,0.6927026510238647,0.0,0.0
315,1,0.537719190120697,0.0,0.0
316,1,0.5804387331008911,0.0,0.0
323,1,0.5894089937210083,11.0,1.0
327,1,0.6022775769233704,0.0,2.0
330,1,0.5086437463760376,0.0,0.0
331,1,0.7700387835502625,0.0,0.0
332,1,0.7241159677505493,0.0,0.0
336,1,0.5960349440574646,0.0,0.0
341,1,0.6528148651123047,15.0,11.0
348,1,0.6632158160209656,2.0,0.0
357,0,0.3773757219314575,1.0,0.0
359,1,0.66465824842453,0.0,1.0
363,1,0.5342820286750793,1.0,1.0
366,1,0.5694566369056702,1.0,1.0
371,1,0.5850744247436523,0.0,0.0
379,1,0.5172433257102966,4.0,3.0
387,1,0.5062735080718994,1.0,0.0
392,1,0.6165255308151245,2.0,0.0
396,1,0.5640323162078857,1.0,0.0
404,1,0.5878636837005615,4.0,1.0
413,1,0.6927412748336792,6.0,5.0
416,1,0.755490243434906,1.0,0.0
430,1,0.542640745639801,0.0,0.0
438,1,0.6336320042610168,0.0,0.0
443,1,0.5965641140937805,14.0,1.0
452,1,0.6913849711418152,1.0,0.0
458,1,0.7161303758621216,6.0,0.0
460,1,0.568718671798706,0.0,2.0
461,1,0.7336180806159973,5.0,3.0
467,1,0.5047628879547119,10.0,0.0
469,1,0.6066046357154846,3.0,0.0
490,1,0.5633682608604431,0.0,0.0
491,1,0.7563868761062622,0.0,0.0
494,1,0.8745964169502258,0.0,0.0
504,1,0.525128960609436,1.0,0.0
507,0,0.4040029048919678,0.0,0.0
508,1,0.5095658898353577,3.0,0.0
517,0,0.4707900583744049,8.0,0.0
518,1,0.5527665615081787,0.0,0.0
524,0,0.445582628250122,0.0,0.0
528,1,0.5879298448562622,0.0,0.0
529,0,0.488310307264328,0.0,0.0
531,1,0.5548494458198547,2.0,0.0
532,1,0.5791934132575989,4.0,0.0
535,0,0.4547214806079864,4.0,1.0
536,1,0.6424145102500916,0.0,0.0
537,0,0.4457484185695648,0.0,0.0
539,1,0.6031557321548462,1.0,0.0
541,1,0.5575262308120728,2.0,1.0
542,0,0.4621338248252868,0.0,0.0
545,1,0.5185496211051941,0.0,0.0
546,1,0.516196072101593,0.0,0.0
554,1,0.500639021396637,11.0,2.0
556,1,0.8246346116065979,0.0,0.0
562,1,0.5893009901046753,2.0,0.0
564,1,0.6239264011383057,1.0,0.0
587,1,0.5937094688415527,1.0,1.0
590,1,0.5909632444381714,2.0,0.0
598,1,0.5787056684494019,0.0,0.0
600,1,0.522983968257904,7.0,1.0
602,1,0.6017269492149353,0.0,0.0
605,1,0.6575862169265747,1.0,1.0
612,1,0.5349494218826294,0.0,0.0
616,1,0.728403627872467,1.0,0.0
618,1,0.80620938539505,1.0,0.0
619,1,0.6906406283378601,0.0,0.0
623,1,0.6509172916412354,0.0,0.0
633,1,0.5156213641166687,4.0,4.0
636,1,0.6335089802742004,1.0,2.0
640,0,0.4943146705627441,1.0,0.0
644,1,0.6354415416717529,0.0,0.0
645,1,0.5718803405761719,2.0,0.0
651,1,0.6425797939300537,0.0,0.0
662,1,0.581936240196228,5.0,0.0
663,0,0.4505684077739715,1.0,1.0
667,1,0.7547008395195007,0.0,0.0
672,1,0.5375843644142151,0.0,0.0
677,0,0.4027795493602752,0.0,0.0
680,1,0.5562484264373779,1.0,0.0
684,1,0.5711768865585327,1.0,1.0
686,1,0.5049285888671875,0.0,0.0
692,1,0.6751053333282471,0.0,0.0
695,1,0.6712167859077454,0.0,0.0
701,1,0.5994855761528015,1.0,0.0
703,1,0.5837841629981995,0.0,1.0
713,1,0.5897397398948669,1.0,0.0
723,1,0.6500128507614136,0.0,0.0
725,1,0.5538293719291687,1.0,0.0
729,1,0.5568291544914246,2.0,0.0
731,0,0.4346171617507934,1.0,0.0
732,1,0.5848958492279053,1.0,0.0
733,1,0.5116128921508789,6.0,4.0
739,1,0.6480445861816406,6.0,1.0
743,1,0.6210116147994995,0.0,0.0
753,1,0.5457347631454468,0.0,0.0
757,1,0.7422759532928467,0.0,0.0
758,1,0.5651556253433228,1.0,0.0
760,0,0.3990172445774078,1.0,0.0
767,1,0.5057158470153809,0.0,0.0
772,1,0.5082025527954102,0.0,0.0
777,1,0.6728888750076294,1.0,0.0
778,1,0.6741092205047607,6.0,0.0
781,1,0.6010429263114929,0.0,0.0
788,0,0.450070708990097,5.0,0.0
797,1,0.5770134925842285,3.0,2.0
798,1,0.5727415084838867,1.0,0.0
803,1,0.6161088347434998,2.0,2.0
809,0,0.4500679969787597,2.0,0.0
812,1,0.5873083472251892,1.0,0.0
821,1,0.6025195717811584,1.0,3.0
829,1,0.6115579605102539,3.0,1.0
831,1,0.5210751891136169,0.0,0.0
833,1,0.5509569644927979,0.0,0.0
839,1,0.6186498999595642,3.0,0.0
841,1,0.6641479730606079,6.0,0.0
844,1,0.5785942077636719,0.0,0.0
847,1,0.5498999953269958,2.0,0.0
848,1,0.558376133441925,0.0,0.0
849,1,0.5725940465927124,0.0,0.0
854,1,0.7100977301597595,0.0,0.0
855,1,0.5423718094825745,1.0,0.0
858,1,0.5424632430076599,0.0,0.0
860,0,0.4104518294334411,0.0,0.0
864,0,0.4121977090835571,2.0,0.0
870,1,0.5901414752006531,1.0,0.0
873,0,0.42331263422966,0.0,0.0
875,0,0.4322061836719513,2.0,0.0
879,1,0.597394585609436,0.0,0.0
883,0,0.417481392621994,4.0,0.0
889,1,0.578980565071106,4.0,0.0
891,1,0.5319270491600037,0.0,0.0
898,0,0.4312784671783447,0.0,0.0
900,1,0.5416902899742126,6.0,3.0
901,0,0.4417599439620971,2.0,0.0
905,1,0.5103920698165894,3.0,1.0
908,0,0.4943887591361999,0.0,0.0
916,1,0.5322460532188416,4.0,0.0
917,0,0.4451944828033447,1.0,0.0
918,0,0.4462860822677612,12.0,3.0
921,1,0.5508509874343872,11.0,6.0
923,0,0.4982188045978546,0.0,0.0
924,0,0.4378679692745209,6.0,2.0
926,1,0.7584695219993591,4.0,0.0
932,1,0.5433608889579773,4.0,0.0
933,1,0.5550435781478882,0.0,0.0
938,1,0.6814743280410767,0.0,0.0
939,1,0.5215201377868652,0.0,0.0
942,1,0.6195988655090332,0.0,0.0
943,1,0.6008561849594116,5.0,0.0
944,1,0.5811266303062439,1.0,0.0
957,0,0.4644678235054016,0.0,0.0
961,1,0.6342802047729492,2.0,0.0
973,1,0.6492049098014832,1.0,1.0
974,0,0.4767691195011139,5.0,1.0
982,1,0.534639835357666,1.0,0.0
985,1,0.548600435256958,1.0,0.0
988,1,0.5373730659484863,1.0,0.0
993,0,0.4352200329303741,0.0,0.0
995,1,0.6638430953025818,2.0,0.0
999,1,0.5811460018157959,0.0,0.0
1000,1,0.5964519381523132,1.0,0.0
1003,0,0.4730965793132782,8.0,2.0
1006,1,0.8038671016693115,0.0,0.0
1007,1,0.5461262464523315,0.0,0.0
1010,0,0.4738749563694,0.0,0.0
1013,1,0.5939418077468872,9.0,0.0
1015,1,0.6182503700256348,1.0,0.0
1020,1,0.5748776197433472,0.0,0.0
1027,1,0.707324743270874,0.0,0.0
1034,0,0.4278159141540527,3.0,0.0
1038,0,0.4580951929092407,0.0,0.0
1039,1,0.8076443672180176,0.0,0.0
1040,1,0.5337939858436584,0.0,0.0
1047,0,0.4725471138954162,0.0,0.0
1057,0,0.4718233346939087,0.0,0.0
1058,0,0.4174600839614868,0.0,0.0
1069,1,0.5101877450942993,1.0,0.0
1071,1,0.5784331560134888,0.0,0.0
1074,1,0.6505011320114136,2.0,1.0
1076,1,0.5402553677558899,3.0,0.0
1079,1,0.6203915476799011,0.0,0.0
1081,1,0.6550683379173279,0.0,1.0
1083,1,0.7410797476768494,0.0,0.0
1084,1,0.708238422870636,0.0,1.0
1091,1,0.8859696984291077,0.0,0.0
1100,1,0.6391069889068604,0.0,0.0
1101,1,0.6547694802284241,0.0,0.0
1102,1,0.5532019734382629,0.0,0.0
1103,1,0.5724268555641174,0.0,0.0
1104,1,0.6890665292739868,1.0,0.0
1105,1,0.6679849028587341,0.0,0.0
1113,1,0.6270853281021118,0.0,0.0
1117,1,0.7136344313621521,0.0,0.0
1122,1,0.6223228573799133,0.0,0.0
1124,1,0.6122005581855774,4.0,6.0
1126,0,0.4552467465400696,1.0,0.0
1128,1,0.6898597478866577,0.0,1.0
1132,1,0.5671433210372925,1.0,0.0
1133,1,0.6593722105026245,0.0,0.0
1135,1,0.5295933485031128,0.0,0.0
1137,1,0.669806182384491,1.0,0.0
1139,0,0.4658710062503814,0.0,0.0
1143,0,0.4325554072856903,2.0,0.0
1145,1,0.5442512035369873,4.0,1.0
1155,1,0.5918982028961182,0.0,0.0
1156,0,0.377361536026001,14.0,2.0
1157,0,0.4388223886489868,1.0,1.0
1161,1,0.6995416879653931,0.0,0.0
