candidate,outcome,match_rate_ytrue_ge1,official_positives,calculated_positives_ge1,TP,FP,TN,FN
raw_direct_index,victimization,0.5233545647558386,465,458,355,379,105,103
raw_direct_index,perpetration,0.648619957537155,221,228,184,522,192,44
raw_direct_index,overlap,0.7038216560509554,178,185,95,404,353,90
complete_cases_original_index,victimization,0.5233545647558386,465,458,355,379,105,103
complete_cases_original_index,perpetration,0.648619957537155,221,228,184,522,192,44
complete_cases_original_index,overlap,0.7038216560509554,178,185,95,404,353,90
complete_cases_reset_index,victimization,0.5233545647558386,465,458,355,379,105,103
complete_cases_reset_index,perpetration,0.648619957537155,221,228,184,522,192,44
complete_cases_reset_index,overlap,0.7038216560509554,178,185,95,404,353,90
features_complete_original_index,victimization,0.5233545647558386,465,458,355,379,105,103
features_complete_original_index,perpetration,0.648619957537155,221,228,184,522,192,44
features_complete_original_index,overlap,0.7038216560509554,178,185,95,404,353,90
features_complete_reset_index,victimization,0.5233545647558386,465,458,355,379,105,103
features_complete_reset_index,perpetration,0.648619957537155,221,228,184,522,192,44
features_complete_reset_index,overlap,0.7038216560509554,178,185,95,404,353,90
target_complete_reset_index,victimization,0.5233545647558386,465,458,355,379,105,103
target_complete_reset_index,perpetration,0.648619957537155,221,228,184,522,192,44
target_complete_reset_index,overlap,0.7038216560509554,178,185,95,404,353,90
