,PAÍS,ETNIA.BN,EDAD,FUGAS.BN,ABUSOSUBS1,ABUSOSUBS2,CONVIVEN.1,CONVIVEN.2,CONVIVEN.3,CONVIVEN.4,CONVIVEN_H,CONVIVEN_0,AUTOEFIC.MEAN,AUTOEFIC.VAR,IMPULS.MEAN,IMPULS.MEDIAN,IMPULS.VAR,APOYO.MEAN,APOYO.MEDIAN,APOYO.VAR,MORAL.MEAN,MORAL.VAR,PORNO.T,GENERO.BN0,ORIENTSEX.BN0,GENERO.BN1,ORIENTSEX.BN1
PC1,-0.025939363976338975,0.022694515165152997,0.006562505316425629,0.010014009135575996,-0.02463609461039608,0.01480228735905985,-0.01403240120333758,0.00025060951403882106,-0.006201817751494706,0.004874020299590396,-0.05024054054244136,0.004029722401930737,0.057380963660204315,-0.014523608268533147,0.005944418416755276,0.007135502117431698,-0.031012059561473366,0.014985471034510327,0.023485987616559015,-0.0073274198667039915,-0.04940846181721656,0.021390772769525862,0.28376906363138343,0.6614080243111565,0.12513398384750776,-0.6614080243111563,-0.1251339838475078
PC2,0.11342734190279714,-0.20030862902046284,-0.11018961777023364,-0.16384850132897902,-0.08522230429764643,-0.0732150599000485,0.16077277729800493,0.532330551048478,-0.11230547994915144,-0.012218847542203187,0.6636579865893895,-0.10627932581307914,0.056016257672966446,-0.04727946849580401,2.1816269816853775e-06,0.0015649420285921403,-0.012724568771565517,0.10162222978678748,0.11618082191831482,-0.10199356405652082,0.05002546139604042,-0.034540110691556616,-0.0550860775425644,0.003867784999309442,0.19384444600483805,-0.0038677849993099694,-0.19384444600483802
PC3,0.01708678878806883,-0.0748167080662433,0.08173030287363856,0.0956009371855942,0.07837763591688625,0.02395723557187445,0.04907667879975146,0.1857743465078315,-0.03293557553502598,0.0011291294545384058,0.2854562892666794,-0.009300942629081065,-0.06855260463753886,0.005820781485342837,0.010619620182732572,0.010971238716407459,-0.0018117109461420232,-0.09449851809938865,-0.11001119383834682,0.08471361644899603,-0.01446244508858033,-0.013072928590815613,0.18733392401210094,0.09575360414084773,-0.6184680653836649,-0.09575360414084538,0.618468065383665
PC4,-0.27653446438609885,0.6012879707765979,-0.03325647391899676,0.11045886295656415,-0.0425671387449114,0.017327322933477884,-0.03321545008322419,-0.33935472005553674,0.1591914874533625,0.03577023272303714,0.5901066938664364,0.10122574020738825,-0.01867421172716428,0.02859851514369062,-0.005040117822268398,-0.01749025140696008,-0.003155692057036022,-0.08737811445158121,-0.0951501683170093,0.11201591723156844,-0.05445294448553856,0.042583046714167495,0.017263597237425637,-0.009751618673893148,0.06779615738137236,0.009751618673892926,-0.06779615738137232
PC5,0.16885079959482616,-0.38780165235980957,0.44112910368895986,0.2615833248709983,0.44787843471594935,0.2705477467880051,0.003586866609861413,-0.3112324955760743,0.12249636909280967,0.03488563025508943,0.25813370047981093,-0.010838184454215605,-0.009809563711316624,0.002432998435346014,-1.744322174397682e-05,0.005900385186976823,-0.04625700681070234,0.055807718771277215,0.06715540710512946,-0.060971092810584,0.02793833489795001,-0.016728657253074725,0.22395017728862274,-0.052746578582164735,0.13045887246008586,0.052746578582165166,-0.13045887246008592
PC6,-0.14576723169259392,0.41006509657928514,0.29055640524381343,0.3382591118174968,0.2567282371388705,0.19186466703093544,-0.009145171301539677,0.5741413007255634,-0.25403598990648746,-0.030919888504833827,-0.1888549393430342,-0.023502632301670608,-0.005267419126836101,-0.006783029862728983,-0.007248461511969181,-0.010841701299966453,-0.02944005898040384,-0.05790766791048133,-0.07119197406578807,0.06910715230294134,-0.042087423302830475,0.02693169775008746,0.1524767030620858,-0.07428746780325093,0.11513703013300174,0.07428746780325104,-0.11513703013300174
PC7,0.15804880224220288,-0.2588454362832723,-0.4984975261651979,0.5383971081164501,-0.0338720253580803,0.022113506664948563,-0.004455015426615636,0.044307643985419747,0.04793117017914731,0.035895287329950065,0.02112280183275632,-0.024050091873910443,-0.15211615592140013,0.050334048604856865,0.03552662975245009,0.0470413727987942,-0.015139614854449597,-0.29254703149951744,-0.33799229614022863,0.3015948235135731,-0.10899065734900927,0.04683844335552307,-0.03700070426413305,0.004973769830305175,0.11350813511491017,-0.0049737698303065556,-0.11350813511491013
PC8,-0.020914939120757457,0.07611645248733044,-0.39235614655433404,0.4838209523382533,0.016885099002318892,0.034017418838720684,-0.10559297450049993,0.027019081004312582,0.08024873640077361,0.04868392684883971,-0.017210517446638617,0.16517088409897757,0.13993613556435325,-0.04054899322724916,-0.0535181442011696,-0.07961395531910762,-0.0004994127974738181,0.3828901701137958,0.45413683766828117,-0.3826946206515617,0.023977882120647557,0.0273965088759724,0.07082965307403027,-0.02227772766404652,-0.09738725731893323,0.02227772766404814,0.09738725731893323
PC9,-0.05920377421489369,-0.15836595757940503,-0.02187363843774859,-0.1991664007127109,0.053507682301093866,0.02458662192994495,-0.4269035828355749,0.14690154195175903,-0.04573602544543431,0.07397502045043537,0.053033446606934896,0.8245690174757287,-0.03130937094976547,-0.005604839293013459,0.02977601378872233,0.043670411327019105,-0.012483836783587556,-0.05998373596309496,-0.08034241826338254,0.05105664099916175,-0.03233491202925265,0.0014858912160608574,0.1066918403437214,-0.029881117893801056,0.037727765954406155,0.02988111789380145,-0.037727765954406134
PC10,0.04286477705570971,0.09658976340890928,-0.40316468653773163,-0.3674843295359467,0.2108346100977502,0.12023574788015774,-0.009442492511876443,0.03378508969958681,0.1783223389082348,0.05902250311295617,-0.06608141359579872,-0.2044351100912386,-0.024861734530802242,0.03948931314918921,-0.016544852104139994,-0.024934066577958228,-0.022609709028668483,-0.0159672779274601,0.006848160935129903,0.06966399302540645,0.030479673597217642,-0.0039267941257543045,0.702710127626222,-0.14867509764954887,0.03139660965639359,0.14867509764955567,-0.03139660965639344
