,mean
PAÍS,0.9143362831858407
ETNIA.BN,0.2007079646017699
EDAD,0.4792920353982304
FUGAS.BN,0.13699115044247787
ABUSOSUBS1,0.311858407079646
ABUSOSUBS2,0.29040707964601775
CONVIVEN.1,0.9178761061946903
CONVIVEN.2,0.7543362831858407
CONVIVEN.3,0.07823008849557522
CONVIVEN.4,0.03256637168141593
CONVIVEN_H,0.6304424778761062
CONVIVEN_0,0.09415929203539823
AUTOEFIC.MEAN,0.6430280717327006
AUTOEFIC.VAR,0.20733673612337553
IMPULS.MEAN,0.4641966172301253
IMPULS.MEDIAN,0.45280710734493024
IMPULS.VAR,0.36271018098342234
APOYO.MEAN,0.7596914517145424
APOYO.MEDIAN,0.8223147326849626
APOYO.VAR,0.2778828161231447
MORAL.MEAN,0.7395005868616107
MORAL.VAR,0.16121083785885185
PORNO.T,0.29920353982300885
GENERO.BN0,0.4849557522123894
ORIENTSEX.BN0,0.8669026548672566
GENERO.BN1,0.5150442477876106
ORIENTSEX.BN1,0.13309734513274335
