,PC,explained variance,cumulative variance
0,PC1,0.2197506294306383,0.2197506294306383
1,PC2,0.11029573900859228,0.3300463684392306
2,PC3,0.0903082514617794,0.42035461990101
3,PC4,0.08422073379946347,0.5045753537004735
4,PC5,0.0678889914017905,0.572464345102264
5,PC6,0.05755337131198044,0.6300177164142444
6,PC7,0.04860861640979032,0.6786263328240347
7,PC8,0.0402004111913425,0.7188267440153773
8,PC9,0.03368861970982059,0.7525153637251979
9,PC10,0.031955840770781896,0.7844712044959798
10,PC11,0.028858886959273748,0.8133300914552536
11,PC12,0.024833155856898128,0.8381632473121517
12,PC13,0.02268750325340231,0.860850750565554
13,PC14,0.02126493261740828,0.8821156831829623
14,PC15,0.01999095813791691,0.9021066413208793
15,PC16,0.017608437824976432,0.9197150791458557
16,PC17,0.01646060727011824,0.9361756864159739
17,PC18,0.014162827685342258,0.9503385141013162
18,PC19,0.013468316643875874,0.963806830745192
19,PC20,0.009734179192723888,0.9735410099379159
20,PC21,0.009378518903222246,0.9829195288411382
21,PC22,0.007890776930390364,0.9908103057715285
22,PC23,0.00653327258125035,0.9973435783527789
23,PC24,0.0015892256303145242,0.9989328039830934
24,PC25,0.0010671960169068284,1.0000000000000002
25,PC26,0.0,1.0000000000000002
26,PC27,0.0,1.0000000000000002
