u1,a1,d1,u2,a2,d2,recall_0,recall_1
64,relu,0.3,16,relu,0.1,0.6256544502617801,0.702247191011236
64,relu,0.3,16,relu,0.05,0.5641361256544503,0.7359550561797753
64,relu,0.3,16,relu,0.0,0.34554973821989526,0.7640449438202247
64,relu,0.3,16,linear,0.1,0.612565445026178,0.7415730337078652
64,relu,0.3,16,linear,0.05,0.5575916230366492,0.7078651685393258
64,relu,0.3,16,linear,0.0,0.7159685863874345,0.6797752808988764
64,relu,0.3,16,tanh,0.1,0.606020942408377,0.7696629213483146
64,relu,0.3,16,tanh,0.05,0.6950261780104712,0.6853932584269663
64,relu,0.3,16,tanh,0.0,0.6099476439790575,0.6797752808988764
64,relu,0.3,16,sigmoid,0.1,0.306282722513089,0.8370786516853933
64,relu,0.3,16,sigmoid,0.05,0.0,1.0
64,relu,0.3,16,sigmoid,0.0,0.3010471204188482,0.8202247191011236
64,relu,0.3,8,relu,0.1,0.4712041884816754,0.797752808988764
64,relu,0.3,8,relu,0.05,0.6034031413612565,0.7303370786516854
64,relu,0.3,8,relu,0.0,0.668848167539267,0.7078651685393258
64,relu,0.3,8,linear,0.1,0.5340314136125655,0.7528089887640449
64,relu,0.3,8,linear,0.05,0.5719895287958116,0.7640449438202247
64,relu,0.3,8,linear,0.0,0.5968586387434555,0.7247191011235955
64,relu,0.3,8,tanh,0.1,0.662303664921466,0.651685393258427
64,relu,0.3,8,tanh,0.05,0.680628272251309,0.6853932584269663
64,relu,0.3,8,tanh,0.0,0.7054973821989529,0.702247191011236
64,relu,0.3,8,sigmoid,0.1,0.643979057591623,0.7134831460674157
64,relu,0.3,8,sigmoid,0.05,0.031413612565445025,1.0
64,relu,0.3,8,sigmoid,0.0,0.6570680628272252,0.7134831460674157
64,relu,0.3,4,relu,0.1,0.2526178010471204,0.8314606741573034
64,relu,0.3,4,relu,0.05,0.693717277486911,0.6966292134831461
64,relu,0.3,4,relu,0.0,0.4790575916230366,0.8370786516853933
64,relu,0.3,4,linear,0.1,0.5575916230366492,0.7528089887640449
64,relu,0.3,4,linear,0.05,0.25392670157068065,0.848314606741573
64,relu,0.3,4,linear,0.0,0.2879581151832461,0.8314606741573034
64,relu,0.3,4,tanh,0.1,0.6989528795811518,0.6966292134831461
64,relu,0.3,4,tanh,0.05,0.4319371727748691,0.6966292134831461
64,relu,0.3,4,tanh,0.0,0.643979057591623,0.7247191011235955
64,relu,0.3,4,sigmoid,0.1,0.6675392670157068,0.7303370786516854
64,relu,0.3,4,sigmoid,0.05,0.7094240837696335,0.6910112359550562
64,relu,0.3,4,sigmoid,0.0,0.22905759162303665,0.949438202247191
64,relu,0.2,16,relu,0.1,0.5445026178010471,0.7921348314606742
64,relu,0.2,16,relu,0.05,0.3887434554973822,0.7921348314606742
64,relu,0.2,16,relu,0.0,0.6910994764397905,0.6853932584269663
64,relu,0.2,16,linear,0.1,0.643979057591623,0.651685393258427
64,relu,0.2,16,linear,0.05,0.5863874345549738,0.7696629213483146
64,relu,0.2,16,linear,0.0,0.6858638743455497,0.7191011235955056
64,relu,0.2,16,tanh,0.1,0.5929319371727748,0.7415730337078652
64,relu,0.2,16,tanh,0.05,0.5418848167539267,0.7471910112359551
64,relu,0.2,16,tanh,0.0,0.668848167539267,0.6741573033707865
64,relu,0.2,16,sigmoid,0.1,0.6675392670157068,0.7191011235955056
64,relu,0.2,16,sigmoid,0.05,0.6596858638743456,0.7247191011235955
64,relu,0.2,16,sigmoid,0.0,0.0,1.0
64,relu,0.2,8,relu,0.1,0.6557591623036649,0.6797752808988764
64,relu,0.2,8,relu,0.05,0.6531413612565445,0.7303370786516854
64,relu,0.2,8,relu,0.0,0.5575916230366492,0.7191011235955056
64,relu,0.2,8,linear,0.1,0.5235602094240838,0.702247191011236
64,relu,0.2,8,linear,0.05,0.6910994764397905,0.7247191011235955
64,relu,0.2,8,linear,0.0,0.6714659685863874,0.6573033707865169
64,relu,0.2,8,tanh,0.1,0.4973821989528796,0.7584269662921348
64,relu,0.2,8,tanh,0.05,0.7054973821989529,0.702247191011236
64,relu,0.2,8,tanh,0.0,0.6400523560209425,0.702247191011236
64,relu,0.2,8,sigmoid,0.1,0.0,1.0
64,relu,0.2,8,sigmoid,0.05,0.6662303664921466,0.7078651685393258
64,relu,0.2,8,sigmoid,0.0,0.0,1.0
64,relu,0.2,4,relu,0.1,0.36387434554973824,0.8426966292134831
64,relu,0.2,4,relu,0.05,0.6845549738219895,0.6741573033707865
64,relu,0.2,4,relu,0.0,0.25392670157068065,0.9213483146067416
64,relu,0.2,4,linear,0.1,0.6701570680628273,0.702247191011236
64,relu,0.2,4,linear,0.05,0.6335078534031413,0.7134831460674157
64,relu,0.2,4,linear,0.0,0.2709424083769634,0.848314606741573
64,relu,0.2,4,tanh,0.1,0.6767015706806283,0.7078651685393258
64,relu,0.2,4,tanh,0.05,0.6321989528795812,0.6966292134831461
64,relu,0.2,4,tanh,0.0,0.39790575916230364,0.7247191011235955
64,relu,0.2,4,sigmoid,0.1,0.6897905759162304,0.7078651685393258
64,relu,0.2,4,sigmoid,0.05,0.0,1.0
64,relu,0.2,4,sigmoid,0.0,0.7028795811518325,0.6910112359550562
64,relu,0.1,16,relu,0.1,0.6387434554973822,0.7359550561797753
64,relu,0.1,16,relu,0.05,0.5026178010471204,0.7752808988764045
64,relu,0.1,16,relu,0.0,0.6583769633507853,0.7247191011235955
64,relu,0.1,16,linear,0.1,0.6099476439790575,0.6797752808988764
64,relu,0.1,16,linear,0.05,0.5732984293193717,0.6685393258426966
64,relu,0.1,16,linear,0.0,0.612565445026178,0.7078651685393258
64,relu,0.1,16,tanh,0.1,0.6819371727748691,0.7191011235955056
64,relu,0.1,16,tanh,0.05,0.6845549738219895,0.6853932584269663
64,relu,0.1,16,tanh,0.0,0.6413612565445026,0.651685393258427
64,relu,0.1,16,sigmoid,0.1,0.612565445026178,0.7471910112359551
64,relu,0.1,16,sigmoid,0.05,0.0,1.0
64,relu,0.1,16,sigmoid,0.0,0.6426701570680629,0.7247191011235955
64,relu,0.1,8,relu,0.1,0.6361256544502618,0.7078651685393258
64,relu,0.1,8,relu,0.05,0.6335078534031413,0.7078651685393258
64,relu,0.1,8,relu,0.0,0.362565445026178,0.7247191011235955
64,relu,0.1,8,linear,0.1,0.6492146596858639,0.6853932584269663
64,relu,0.1,8,linear,0.05,0.6649214659685864,0.6853932584269663
64,relu,0.1,8,linear,0.0,0.6832460732984293,0.7134831460674157
64,relu,0.1,8,tanh,0.1,0.6531413612565445,0.702247191011236
64,relu,0.1,8,tanh,0.05,0.5981675392670157,0.7191011235955056
64,relu,0.1,8,tanh,0.0,0.680628272251309,0.6910112359550562
64,relu,0.1,8,sigmoid,0.1,0.003926701570680628,0.9943820224719101
64,relu,0.1,8,sigmoid,0.05,0.650523560209424,0.7247191011235955
64,relu,0.1,8,sigmoid,0.0,0.0,1.0
64,relu,0.1,4,relu,0.1,0.47774869109947643,0.7584269662921348
64,relu,0.1,4,relu,0.05,0.6609947643979057,0.7247191011235955
64,relu,0.1,4,relu,0.0,0.6740837696335078,0.6910112359550562
64,relu,0.1,4,linear,0.1,0.6531413612565445,0.6685393258426966
64,relu,0.1,4,linear,0.05,0.6164921465968587,0.7191011235955056
64,relu,0.1,4,linear,0.0,0.6047120418848168,0.7415730337078652
64,relu,0.1,4,tanh,0.1,0.43717277486910994,0.7415730337078652
64,relu,0.1,4,tanh,0.05,0.6570680628272252,0.7134831460674157
64,relu,0.1,4,tanh,0.0,0.6976439790575916,0.7078651685393258
64,relu,0.1,4,sigmoid,0.1,1.0,0.0
64,relu,0.1,4,sigmoid,0.05,0.14528795811518325,0.9606741573033708
64,relu,0.1,4,sigmoid,0.0,0.0,1.0
64,linear,0.3,16,relu,0.1,0.6308900523560209,0.7415730337078652
64,linear,0.3,16,relu,0.05,0.6426701570680629,0.7359550561797753
64,linear,0.3,16,relu,0.0,0.6819371727748691,0.6910112359550562
64,linear,0.3,16,linear,0.1,0.6819371727748691,0.7191011235955056
64,linear,0.3,16,linear,0.05,0.6780104712041884,0.702247191011236
64,linear,0.3,16,linear,0.0,0.6308900523560209,0.6797752808988764
64,linear,0.3,16,tanh,0.1,0.6910994764397905,0.7247191011235955
64,linear,0.3,16,tanh,0.05,0.6675392670157068,0.6797752808988764
64,linear,0.3,16,tanh,0.0,0.668848167539267,0.6966292134831461
64,linear,0.3,16,sigmoid,0.1,0.6609947643979057,0.7191011235955056
64,linear,0.3,16,sigmoid,0.05,0.6727748691099477,0.6910112359550562
64,linear,0.3,16,sigmoid,0.0,0.6570680628272252,0.7359550561797753
64,linear,0.3,8,relu,0.1,0.6858638743455497,0.702247191011236
64,linear,0.3,8,relu,0.05,0.6675392670157068,0.702247191011236
64,linear,0.3,8,relu,0.0,0.6897905759162304,0.6966292134831461
64,linear,0.3,8,linear,0.1,0.6269633507853403,0.7359550561797753
64,linear,0.3,8,linear,0.05,0.662303664921466,0.702247191011236
64,linear,0.3,8,linear,0.0,0.693717277486911,0.7191011235955056
64,linear,0.3,8,tanh,0.1,0.680628272251309,0.6966292134831461
64,linear,0.3,8,tanh,0.05,0.6531413612565445,0.6910112359550562
64,linear,0.3,8,tanh,0.0,0.6583769633507853,0.7191011235955056
64,linear,0.3,8,sigmoid,0.1,0.6793193717277487,0.702247191011236
64,linear,0.3,8,sigmoid,0.05,0.0,1.0
64,linear,0.3,8,sigmoid,0.0,0.0,1.0
64,linear,0.3,4,relu,0.1,0.6348167539267016,0.7359550561797753
64,linear,0.3,4,relu,0.05,0.662303664921466,0.6966292134831461
64,linear,0.3,4,relu,0.0,0.6073298429319371,0.7247191011235955
64,linear,0.3,4,linear,0.1,0.6269633507853403,0.7471910112359551
64,linear,0.3,4,linear,0.05,0.6282722513089005,0.6966292134831461
64,linear,0.3,4,linear,0.0,0.6335078534031413,0.702247191011236
64,linear,0.3,4,tanh,0.1,0.6832460732984293,0.6853932584269663
64,linear,0.3,4,tanh,0.05,0.7081151832460733,0.6966292134831461
64,linear,0.3,4,tanh,0.0,0.675392670157068,0.7134831460674157
64,linear,0.3,4,sigmoid,0.1,0.6767015706806283,0.7191011235955056
64,linear,0.3,4,sigmoid,0.05,0.0,1.0
64,linear,0.3,4,sigmoid,0.0,0.0,1.0
64,linear,0.2,16,relu,0.1,0.6308900523560209,0.7191011235955056
64,linear,0.2,16,relu,0.05,0.6780104712041884,0.7191011235955056
64,linear,0.2,16,relu,0.0,0.662303664921466,0.7191011235955056
64,linear,0.2,16,linear,0.1,0.6950261780104712,0.7191011235955056
64,linear,0.2,16,linear,0.05,0.5445026178010471,0.6853932584269663
64,linear,0.2,16,linear,0.0,0.6793193717277487,0.702247191011236
64,linear,0.2,16,tanh,0.1,0.599476439790576,0.6966292134831461
64,linear,0.2,16,tanh,0.05,0.6989528795811518,0.702247191011236
64,linear,0.2,16,tanh,0.0,0.6243455497382199,0.7584269662921348
