PC,explained variance,cumulative variance
PC1,0.21953235500548404,0.21953235500548404
PC2,0.10854096603056712,0.32807332103605114
PC3,0.09032718715631018,0.4184005081923613
PC4,0.08329881294665324,0.5016993211390145
PC5,0.06821132094080581,0.5699106420798203
PC6,0.058964066456840415,0.6288747085366607
PC7,0.04687909806137774,0.6757538065980384
PC8,0.04075837112138233,0.7165121777194208
PC9,0.03413678947483501,0.7506489671942558
PC10,0.03173814760589113,0.7823871148001469
PC11,0.02961003636247498,0.8119971511626218
PC12,0.02552450992875094,0.8375216610913728
PC13,0.022455764342950758,0.8599774254343235
PC14,0.020880245818752568,0.8808576712530761
PC15,0.020491376104297892,0.901349047357374
PC16,0.017745242951431105,0.9190942903088051
PC17,0.01653857892811341,0.9356328692369185
PC18,0.014405808731356563,0.950038677968275
PC19,0.01341279848445279,0.9634514764527278
PC20,0.009946169007501237,0.973397645460229
PC21,0.009553485244013978,0.982951130704243
PC22,0.0079489636652724,0.9909000943695154
PC23,0.006457172895064969,0.9973572672645804
PC24,0.001567326750256587,0.998924594014837
PC25,0.0010754059851597047,0.9999999999999967
PC26,3.0824680785425622e-15,0.9999999999999998
PC27,2.5013836675898285e-18,0.9999999999999998
