u1,a1,d1,u2,a2,d2,threshold,accuracy,balanced_accuracy,recall_sensitivity,specificity,precision_ppv,npv,f1_positive,screening_score,TP,FP,TN,FN,n_seeds_ensemble
64,tanh,0.3,8,relu,0.1,0.35,0.5042462845010616,0.655590034707924,0.898876404494382,0.412303664921466,0.2627257799671593,0.9459459459459459,0.40660736975857686,0.7866040680843681,160,449,315,18,3
64,relu,0.3,8,relu,0.1,0.35,0.505307855626327,0.6540899464674392,0.8932584269662921,0.41492146596858637,0.2623762376237624,0.9434523809523809,0.40561224489795916,0.7823365119322686,159,447,317,19,3
32,tanh,0.3,16,tanh,0.0,0.4,0.5010615711252654,0.6514721454203188,0.8932584269662921,0.4096858638743455,0.260655737704918,0.9427710843373494,0.4035532994923858,0.78164090173096,159,451,313,19,3
64,tanh,0.3,8,relu,0.0,0.35,0.5265392781316348,0.6650244132007765,0.8876404494382022,0.4424083769633508,0.2705479452054795,0.9441340782122905,0.4146981627296588,0.7814079917674447,158,426,338,20,3
64,relu,0.3,16,tanh,0.0,0.35,0.5138004246284501,0.6571710100594153,0.8876404494382022,0.42670157068062825,0.2651006711409396,0.9421965317919075,0.4082687338501292,0.7792925837327185,158,438,326,20,3
32,tanh,0.2,16,relu,0.0,0.35,0.5095541401273885,0.6545532090122947,0.8876404494382022,0.4214659685863874,0.2633333333333333,0.9415204678362573,0.40616966580976865,0.7785922897425337,158,442,322,20,3
32,relu,0.2,16,tanh,0.0,0.35,0.524416135881104,0.6615609741749515,0.8820224719101124,0.4410994764397906,0.2688356164383562,0.9413407821229051,0.4120734908136483,0.7766114868159046,157,427,337,21,3
32,relu,0.3,16,tanh,0.0,0.35,0.5063694267515924,0.6504353197246897,0.8820224719101124,0.418848167539267,0.2612312811980033,0.9384164222873901,0.4030808729139923,0.7736259224018169,157,444,320,21,3
32,relu,0.2,16,relu,0.0,0.35,0.5222929936305732,0.6580975351491265,0.8764044943820225,0.4397905759162304,0.2671232876712329,0.9385474860335196,0.4094488188976378,0.7718149818643643,156,428,336,22,3
64,relu,0.2,8,tanh,0.0,0.35,0.49363057324840764,0.6425819165833284,0.8820224719101124,0.4031413612565445,0.2561174551386623,0.9361702127659575,0.3969658659924147,0.7715438591676106,157,456,308,21,3
