PC,var_1,loading_1,var_2,loading_2,var_3,loading_3,var_4,loading_4,var_5,loading_5,var_6,loading_6,var_7,loading_7,var_8,loading_8,var_9,loading_9,var_10,loading_10
PC1,GENERO.BN0,0.6614080243111565,GENERO.BN1,-0.6614080243111563,PORNO.T,0.28376906363138343,ORIENTSEX.BN1,-0.1251339838475078,ORIENTSEX.BN0,0.12513398384750776,AUTOEFIC.MEAN,0.057380963660204315,CONVIVEN_H,-0.05024054054244136,MORAL.MEAN,-0.04940846181721656,IMPULS.VAR,-0.031012059561473366,PAÍS,-0.025939363976338975
PC2,CONVIVEN_H,0.6636579865893895,CONVIVEN.2,0.532330551048478,ETNIA.BN,-0.20030862902046284,ORIENTSEX.BN0,0.19384444600483805,ORIENTSEX.BN1,-0.19384444600483802,FUGAS.BN,-0.16384850132897902,CONVIVEN.1,0.16077277729800493,APOYO.MEDIAN,0.11618082191831482,PAÍS,0.11342734190279714,CONVIVEN.3,-0.11230547994915144
PC3,ORIENTSEX.BN1,0.618468065383665,ORIENTSEX.BN0,-0.6184680653836649,CONVIVEN_H,0.2854562892666794,PORNO.T,0.18733392401210094,CONVIVEN.2,0.1857743465078315,APOYO.MEDIAN,-0.11001119383834682,GENERO.BN0,0.09575360414084773,GENERO.BN1,-0.09575360414084538,FUGAS.BN,0.0956009371855942,APOYO.MEAN,-0.09449851809938865
PC4,ETNIA.BN,0.6012879707765979,CONVIVEN_H,0.5901066938664364,CONVIVEN.2,-0.33935472005553674,PAÍS,-0.27653446438609885,CONVIVEN.3,0.1591914874533625,APOYO.VAR,0.11201591723156844,FUGAS.BN,0.11045886295656415,CONVIVEN_0,0.10122574020738825,APOYO.MEDIAN,-0.0951501683170093,APOYO.MEAN,-0.08737811445158121
PC5,ABUSOSUBS1,0.44787843471594935,EDAD,0.44112910368895986,ETNIA.BN,-0.38780165235980957,CONVIVEN.2,-0.3112324955760743,ABUSOSUBS2,0.2705477467880051,FUGAS.BN,0.2615833248709983,CONVIVEN_H,0.25813370047981093,PORNO.T,0.22395017728862274,PAÍS,0.16885079959482616,ORIENTSEX.BN1,-0.13045887246008592
PC6,CONVIVEN.2,0.5741413007255634,ETNIA.BN,0.41006509657928514,FUGAS.BN,0.3382591118174968,EDAD,0.29055640524381343,ABUSOSUBS1,0.2567282371388705,CONVIVEN.3,-0.25403598990648746,ABUSOSUBS2,0.19186466703093544,CONVIVEN_H,-0.1888549393430342,PORNO.T,0.1524767030620858,PAÍS,-0.14576723169259392
PC7,FUGAS.BN,0.5383971081164501,EDAD,-0.4984975261651979,APOYO.MEDIAN,-0.33799229614022863,APOYO.VAR,0.3015948235135731,APOYO.MEAN,-0.29254703149951744,ETNIA.BN,-0.2588454362832723,PAÍS,0.15804880224220288,AUTOEFIC.MEAN,-0.15211615592140013,ORIENTSEX.BN0,0.11350813511491017,ORIENTSEX.BN1,-0.11350813511491013
PC8,FUGAS.BN,0.4838209523382533,APOYO.MEDIAN,0.45413683766828117,EDAD,-0.39235614655433404,APOYO.MEAN,0.3828901701137958,APOYO.VAR,-0.3826946206515617,CONVIVEN_0,0.16517088409897757,AUTOEFIC.MEAN,0.13993613556435325,CONVIVEN.1,-0.10559297450049993,ORIENTSEX.BN1,0.09738725731893323,ORIENTSEX.BN0,-0.09738725731893323
PC9,CONVIVEN_0,0.8245690174757287,CONVIVEN.1,-0.4269035828355749,FUGAS.BN,-0.1991664007127109,ETNIA.BN,-0.15836595757940503,CONVIVEN.2,0.14690154195175903,PORNO.T,0.1066918403437214,APOYO.MEDIAN,-0.08034241826338254,CONVIVEN.4,0.07397502045043537,APOYO.MEAN,-0.05998373596309496,PAÍS,-0.05920377421489369
PC10,PORNO.T,0.702710127626222,EDAD,-0.40316468653773163,FUGAS.BN,-0.3674843295359467,ABUSOSUBS1,0.2108346100977502,CONVIVEN_0,-0.2044351100912386,CONVIVEN.3,0.1783223389082348,GENERO.BN1,0.14867509764955567,GENERO.BN0,-0.14867509764954887,ABUSOSUBS2,0.12023574788015774,ETNIA.BN,0.09658976340890928
