,INTERSECT
2707,0
729,0
2441,0
1799,0
1774,0
937,0
882,0
309,0
1593,0
2896,0
1005,0
330,0
3129,0
3322,0
1618,0
3424,0
1219,0
3096,1
1994,0
2781,0
1409,0
278,1
2326,0
643,0
1108,0
1683,0
1755,0
375,0
2414,0
1659,0
311,0
2571,0
3545,0
349,1
16,1
3126,0
2687,0
1850,0
706,0
670,1
3310,0
1608,0
2967,0
2260,0
2346,1
1155,0
3474,0
735,0
1671,0
3043,0
506,0
116,0
2946,0
3514,0
692,0
1534,0
2760,0
3631,1
2040,0
1131,0
3753,0
1169,0
3724,0
1326,0
3366,0
3066,0
1128,1
3704,1
1340,0
2985,1
2604,0
1020,0
451,0
557,0
2759,0
3222,0
2810,1
143,1
3466,1
2622,0
3099,0
2147,0
2224,0
583,0
3485,0
3400,1
1523,1
2575,0
2696,1
2720,0
3549,0
2328,1
2949,0
3232,0
2611,0
1040,0
608,1
41,0
1422,0
1165,0
176,0
2052,1
3195,0
1756,0
585,0
3538,0
394,0
274,0
1548,0
1585,0
2957,0
1529,0
1769,0
3381,0
2794,0
1797,0
1423,1
313,0
1229,0
1811,0
1947,1
622,0
2132,0
3085,0
1642,0
251,1
2926,1
2542,0
669,1
1227,0
2677,0
2440,0
707,0
323,0
1432,0
387,0
1141,0
10,0
2089,0
1617,0
3029,0
2173,0
861,0
1721,0
1801,0
748,1
3241,0
1147,0
2491,1
1324,0
280,0
1373,0
2902,0
989,0
193,0
865,0
3607,0
3483,0
3449,0
1889,1
1094,0
3004,1
682,0
3306,1
3294,0
2838,1
586,0
2656,0
2880,0
3019,0
1790,1
82,0
2595,0
2293,0
173,1
2798,0
3536,0
2027,0
368,0
2813,0
1625,0
3716,0
3505,0
370,1
1568,0
2125,0
3247,0
2234,0
1117,0
3703,1
2220,0
3173,0
3392,0
1498,0
3243,1
2672,1
99,0
328,0
1447,1
205,0
3143,0
3075,0
1717,0
555,0
955,1
2462,0
283,0
2755,0
1562,0
242,1
3621,1
3017,0
354,1
3412,0
1152,0
2868,0
2021,0
3220,0
1704,0
2048,0
1849,0
3494,0
1974,0
1614,1
2513,0
1238,0
1499,0
1196,1
1525,1
1830,0
2915,0
652,0
1214,0
1440,1
2863,0
1114,0
3415,0
1940,0
262,1
2678,0
3515,1
744,0
285,0
2044,0
425,0
562,0
2361,0
2945,0
3422,0
2867,1
2650,1
94,0
1656,0
426,0
3452,0
1872,0
2725,0
2704,0
690,0
2642,0
1911,0
738,0
629,0
39,0
1380,0
1623,0
381,0
1241,0
2336,0
656,1
3470,0
3586,0
2367,0
3124,1
1292,1
1017,0
1784,0
2333,0
3117,0
2968,0
3531,1
1506,0
2098,0
3026,0
2401,0
3636,0
672,0
109,1
1043,0
3695,0
2904,0
750,0
2862,0
3696,0
2376,0
860,0
2669,1
3318,0
1976,0
3430,1
1843,0
2076,0
3152,0
1209,0
2400,0
2558,0
3238,0
1058,0
3399,0
1823,0
3740,1
2550,0
696,1
1016,1
1606,0
3739,1
1307,1
1587,0
1269,0
2733,1
992,0
800,0
2762,1
2460,0
360,0
2306,0
1261,0
2369,0
2097,0
3711,0
2213,0
2380,0
1550,0
986,0
624,0
149,0
1379,0
3340,0
2927,0
2795,0
1691,0
91,1
661,0
3286,0
718,0
1765,0
1136,1
3663,1
2826,0
48,0
1297,0
246,0
1457,1
1107,1
3522,0
1767,0
2129,0
760,0
3107,0
767,0
3518,0
484,0
1127,0
2476,0
3475,0
3552,0
1995,0
1274,1
209,0
2612,0
1139,0
3546,0
3281,0
2291,0
1937,0
3087,1
3108,0
1572,0
398,1
2096,0
2649,0
2101,0
1966,1
1232,0
2496,1
1266,0
374,1
1083,1
3567,0
1883,0
1341,0
1469,1
1050,0
1364,0
3720,0
553,0
1318,0
568,0
271,1
392,0
2358,0
3196,1
1715,0
299,0
1986,0
310,0
1353,1
1386,0
572,1
1027,0
424,1
411,1
1149,0
950,1
2775,0
1283,0
3411,1
1288,0
1311,0
31,1
999,0
1762,0
2479,0
1239,0
3726,0
2134,0
422,0
1010,0
2986,0
2697,0
2802,0
3387,1
3361,0
1959,1
377,0
1834,1
3082,1
221,0
2893,1
2653,1
1653,0
263,1
2026,0
2624,0
663,0
772,0
253,0
481,0
3388,0
2248,1
1082,0
2308,0
70,1
2338,0
3013,0
922,1
3032,1
3723,0
500,0
3697,1
1038,0
2471,0
556,1
2138,0
3061,1
3296,0
1281,0
3540,0
14,1
3427,0
988,0
2161,1
660,0
1494,0
2242,0
2936,0
1352,0
3083,0
1713,0
2874,0
805,0
3450,0
3653,0
2348,0
3256,1
3678,0
1416,0
1706,0
1157,0
3375,0
113,0
1591,1
2158,0
2126,1
1273,0
1730,1
2223,0
3000,0
259,0
1960,0
184,0
2354,0
2145,0
3131,0
1410,0
2630,1
2031,0
592,0
18,1
2011,0
2500,0
287,0
2428,0
1921,0
2911,0
3058,1
62,0
2856,0
366,0
3591,0
1913,0
2451,0
2266,0
936,0
573,1
974,0
1599,0
1049,0
1503,0
1106,0
3389,1
3523,0
2028,0
1190,1
1132,0
2314,0
107,0
1076,0
2281,0
747,0
379,1
3495,0
3358,0
559,1
1965,0
431,0
248,1
2761,0
2105,1
3690,0
3242,0
3123,0
2124,0
2623,0
1414,0
1939,1
2263,0
2818,0
2046,0
2583,0
2327,0
3051,1
658,0
2582,0
123,0
2292,0
3337,0
1646,0
20,0
1897,0
3405,0
60,0
3623,0
1045,0
154,0
2118,0
401,0
2330,0
2698,0
2139,0
884,0
3396,0
2947,0
1359,1
179,0
2578,0
3714,0
3312,0
468,0
1036,0
1346,0
2298,0
3371,0
515,1
2860,0
3169,0
3037,0
1848,0
983,0
1377,0
2036,0
417,0
1475,0
296,0
2231,0
2584,0
2890,0
1963,0
2457,0
1181,1
1788,0
1598,0
1579,0
891,0
3266,0
2533,0
416,0
1006,0
2045,1
3078,0
1720,0
3280,0
3089,0
2955,0
1151,0
1737,0
819,0
2786,0
2256,1
3498,0
350,1
212,0
552,0
965,1
657,0
3455,0
8,1
2313,1
1739,0
1808,0
347,0
1293,0
2189,1
1601,0
43,1
1236,0
2160,0
693,0
1456,1
3681,0
3398,0
550,0
2600,0
1909,0
1999,0
2894,0
3434,0
2937,0
2816,1
2148,0
1394,1
1004,0
2566,1
358,0
3580,0
822,1
2323,0
3095,0
1983,0
849,0
3259,0
1920,1
827,0
579,0
35,1
1252,0
2029,0
3278,0
1035,0
3313,1
2438,0
749,0
3608,0
1030,0
2245,0
480,0
554,0
1333,0
3268,0
633,0
1348,0
1245,0
1356,1
1019,0
346,0
615,0
1707,0
503,0
3467,1
489,0
1345,0
1743,0
1222,1
3081,0
2270,0
2976,0
697,1
2251,0
3153,1
2779,0
177,0
1854,1
3079,0
841,0
1544,0
