threshold,accuracy,balanced_accuracy,precision_ppv,recall_sensitivity,specificity,npv,f1_positive,TP,FP,TN,FN,support,distance_to_results
0.501,0.6040339702760085,0.6804812047767516,0.2972972972972973,0.8033707865168539,0.5575916230366492,0.9240780911062907,0.4339908952959029,143,338,426,35,942,3.786119410850503e-05
0.502,0.6061571125265393,0.6774810282957822,0.2968421052631579,0.7921348314606742,0.56282722513089,0.9207708779443254,0.4318529862174579,141,334,430,37,942,4.6064519120644425e-05
0.5,0.6029723991507431,0.6819812930172363,0.2975206611570248,0.8089887640449438,0.5549738219895288,0.925764192139738,0.4350453172205438,144,340,424,34,942,0.00015928576192735658
0.499,0.6008492569002123,0.6806723924936762,0.2962962962962963,0.8089887640449438,0.5523560209424084,0.9254385964912281,0.43373493975903615,144,342,422,34,942,0.0001997041149042936
0.503,0.6125265392781316,0.6814077298664627,0.3006396588486141,0.7921348314606742,0.5706806282722513,0.9217758985200846,0.43585780525502316,141,328,436,37,942,0.00022416909543411967
0.504,0.6146496815286624,0.6805620918877582,0.3010752688172043,0.7865168539325843,0.574607329842932,0.9203354297693921,0.4354587869362364,140,325,439,38,942,0.0004574010293487005
0.505,0.6146496815286624,0.6805620918877582,0.3010752688172043,0.7865168539325843,0.574607329842932,0.9203354297693921,0.4354587869362364,140,325,439,38,942,0.0004574010293487005
0.498,0.5966029723991507,0.6823636684510854,0.29554655870445345,0.8202247191011236,0.5445026178010471,0.9285714285714286,0.43452380952380953,146,348,416,32,942,0.0008180438237221203
0.506,0.6167728237791932,0.6775619154067887,0.3006535947712418,0.7752808988764045,0.5798429319371727,0.917184265010352,0.43328100470957615,138,321,443,40,942,0.0010639157255130421
0.497,0.5923566878980892,0.6819004059062298,0.294,0.8258426966292135,0.5379581151832461,0.9298642533936652,0.4336283185840708,147,353,411,31,942,0.0014383261371886803
