PC,explained variance,cumulative variance
PC1,0.21975062943063647,0.21975062943063647
PC2,0.11029573900859299,0.33004636843922946
PC3,0.09030825146177952,0.420354619901009
PC4,0.08422073379946356,0.5045753537004726
PC5,0.0678889914017906,0.5724643451022632
PC6,0.057553371311980385,0.6300177164142435
PC7,0.048608616409790466,0.678626332824034
PC8,0.04020041119134258,0.7188267440153765
PC9,0.033688619709820705,0.7525153637251972
PC10,0.031955840770781584,0.7844712044959788
PC11,0.028858886959274035,0.8133300914552529
PC12,0.0248331558568981,0.838163247312151
PC13,0.022687503253402436,0.8608507505655534
PC14,0.02126493261740833,0.8821156831829617
PC15,0.01999095813791691,0.9021066413208787
PC16,0.01760843782497649,0.9197150791458552
PC17,0.016460607270118284,0.9361756864159735
PC18,0.014162827685342294,0.9503385141013158
PC19,0.0134683166438759,0.9638068307451917
PC20,0.009734179192723956,0.9735410099379156
PC21,0.009378518903222366,0.982919528841138
PC22,0.007890776930390397,0.9908103057715284
PC23,0.006533272581250377,0.9973435783527788
PC24,0.0015892256303144982,0.9989328039830933
PC25,0.0010671960169068026,1.0
PC26,5.2635525768317846e-18,1.0
PC27,0.0,1.0
