threshold,accuracy,balanced_accuracy,precision_ppv,recall_sensitivity,specificity,npv,f1_positive,TP,FP,TN,FN,support,distance_to_results
0.5,0.589171974522293,0.6756279781163598,0.2905811623246493,0.8146067415730337,0.5366492146596858,0.9255079006772009,0.42836041358936483,145,354,410,33,942,0.0011241414408921496
0.501,0.5912951167728238,0.6575460321195364,0.2839248434237996,0.7640449438202247,0.5510471204188482,0.9092872570194385,0.4140030441400304,136,343,421,42,942,0.002052156174544963
0.499,0.5806794055201698,0.6703923760221189,0.2859960552268245,0.8146067415730337,0.5261780104712042,0.9241379310344827,0.4233576642335766,145,362,402,33,942,0.0022063801483275395
0.502,0.6008492569002123,0.6591270074710277,0.2875536480686695,0.7528089887640449,0.5654450261780105,0.907563025210084,0.4161490683229814,134,332,432,44,942,0.0025732738717550202
0.503,0.6093418259023354,0.6622080710630037,0.2916666666666667,0.7471910112359551,0.5772251308900523,0.9074074074074074,0.4195583596214511,133,323,441,45,942,0.003207523247440048
0.504,0.6178343949044586,0.6652891346549797,0.29596412556053814,0.7415730337078652,0.5890052356020943,0.907258064516129,0.4230769230769231,132,314,450,46,942,0.004379088774193919
0.505,0.6252653927813163,0.6698702864874404,0.30068337129840544,0.7415730337078652,0.5981675392670157,0.9085487077534792,0.42787682333873583,132,307,457,46,942,0.005148368616157263
0.498,0.5626326963906582,0.6592667215718572,0.2767175572519084,0.8146067415730337,0.5039267015706806,0.9210526315789473,0.4131054131054131,145,379,385,33,942,0.006015766838895409
0.506,0.6390658174097664,0.6762236013883169,0.3089622641509434,0.7359550561797753,0.6164921465968587,0.9092664092664092,0.43521594684385384,131,293,471,47,942,0.00835222174943926
0.497,0.5520169851380042,0.654876757456321,0.27238805970149255,0.8202247191011236,0.4895287958115183,0.9211822660098522,0.40896358543417366,146,390,374,32,942,0.009455007058843456
