u1,a1,d1,u2,a2,d2,recall_0,recall_1
64,relu,0.3,16,relu,0.1,0.6204188481675392,0.6797752808988764
64,relu,0.3,16,relu,0.05,0.5510471204188482,0.7471910112359551
64,relu,0.3,16,relu,0.0,0.6884816753926701,0.6685393258426966
64,relu,0.3,16,linear,0.1,0.4201570680628272,0.7528089887640449
64,relu,0.3,16,linear,0.05,0.518324607329843,0.7808988764044944
64,relu,0.3,16,linear,0.0,0.6701570680628273,0.702247191011236
64,relu,0.3,16,tanh,0.1,0.5785340314136126,0.6910112359550562
64,relu,0.3,16,tanh,0.05,0.6858638743455497,0.6910112359550562
64,relu,0.3,16,tanh,0.0,0.6583769633507853,0.6966292134831461
64,relu,0.3,16,sigmoid,0.1,0.0,1.0
64,relu,0.3,16,sigmoid,0.05,0.29712041884816753,0.848314606741573
64,relu,0.3,16,sigmoid,0.0,0.5523560209424084,0.6966292134831461
64,relu,0.3,8,relu,0.1,0.6112565445026178,0.6853932584269663
64,relu,0.3,8,relu,0.05,0.6217277486910995,0.7247191011235955
64,relu,0.3,8,relu,0.0,0.46596858638743455,0.8146067415730337
64,relu,0.3,8,linear,0.1,0.6413612565445026,0.6853932584269663
64,relu,0.3,8,linear,0.05,0.606020942408377,0.7303370786516854
64,relu,0.3,8,linear,0.0,0.6452879581151832,0.7078651685393258
64,relu,0.3,8,tanh,0.1,0.6963350785340314,0.6685393258426966
64,relu,0.3,8,tanh,0.05,0.6819371727748691,0.7078651685393258
64,relu,0.3,8,tanh,0.0,0.5104712041884817,0.7528089887640449
64,relu,0.3,8,sigmoid,0.1,0.6531413612565445,0.7078651685393258
64,relu,0.3,8,sigmoid,0.05,0.662303664921466,0.6966292134831461
64,relu,0.3,8,sigmoid,0.0,0.6780104712041884,0.7078651685393258
64,relu,0.3,4,relu,0.1,0.6413612565445026,0.7134831460674157
64,relu,0.3,4,relu,0.05,0.43586387434554974,0.8539325842696629
64,relu,0.3,4,relu,0.0,0.46596858638743455,0.7752808988764045
64,relu,0.3,4,linear,0.1,0.49214659685863876,0.7640449438202247
64,relu,0.3,4,linear,0.05,0.6727748691099477,0.6797752808988764
64,relu,0.3,4,linear,0.0,0.5942408376963351,0.7247191011235955
64,relu,0.3,4,tanh,0.1,0.5942408376963351,0.7191011235955056
64,relu,0.3,4,tanh,0.05,0.637434554973822,0.6685393258426966
64,relu,0.3,4,tanh,0.0,0.5955497382198953,0.7247191011235955
64,relu,0.3,4,sigmoid,0.1,0.7198952879581152,0.6629213483146067
64,relu,0.3,4,sigmoid,0.05,0.0,1.0
64,relu,0.3,4,sigmoid,0.0,0.017015706806282723,0.9831460674157303
64,relu,0.2,16,relu,0.1,0.6348167539267016,0.6629213483146067
64,relu,0.2,16,relu,0.05,0.4096858638743455,0.8146067415730337
64,relu,0.2,16,relu,0.0,0.7342931937172775,0.6741573033707865
64,relu,0.2,16,linear,0.1,0.6256544502617801,0.7191011235955056
64,relu,0.2,16,linear,0.05,0.40445026178010474,0.7528089887640449
64,relu,0.2,16,linear,0.0,0.43586387434554974,0.7471910112359551
64,relu,0.2,16,tanh,0.1,0.5536649214659686,0.702247191011236
64,relu,0.2,16,tanh,0.05,0.675392670157068,0.702247191011236
64,relu,0.2,16,tanh,0.0,0.450261780104712,0.6797752808988764
64,relu,0.2,16,sigmoid,0.1,0.1505235602094241,0.9269662921348315
64,relu,0.2,16,sigmoid,0.05,0.0,1.0
64,relu,0.2,16,sigmoid,0.0,0.6570680628272252,0.7078651685393258
64,relu,0.2,8,relu,0.1,0.21596858638743455,0.949438202247191
64,relu,0.2,8,relu,0.05,0.6963350785340314,0.6797752808988764
64,relu,0.2,8,relu,0.0,0.5981675392670157,0.7247191011235955
64,relu,0.2,8,linear,0.1,0.6740837696335078,0.7247191011235955
64,relu,0.2,8,linear,0.05,0.5366492146596858,0.8146067415730337
