u1,a1,d1,u2,a2,d2,recall_0,recall_1
64,relu,0.3,16,relu,0.1,0.6712898751733704,0.6199095022624435
64,relu,0.3,16,relu,0.05,0.536754507628294,0.6380090497737556
64,relu,0.3,16,relu,0.0,0.49653259361997226,0.6787330316742082
64,relu,0.3,16,linear,0.1,0.6255201109570042,0.6787330316742082
64,relu,0.3,16,linear,0.05,0.6435506241331485,0.6606334841628959
64,relu,0.3,16,linear,0.0,0.5048543689320388,0.7058823529411765
64,relu,0.3,16,tanh,0.1,0.6296809986130375,0.6561085972850679
64,relu,0.3,16,tanh,0.05,0.6740638002773925,0.6470588235294118
64,relu,0.3,16,tanh,0.0,0.5811373092926491,0.669683257918552
64,relu,0.3,16,sigmoid,0.1,0.0,1.0
64,relu,0.3,16,sigmoid,0.05,0.4119278779472954,0.7375565610859729
64,relu,0.3,16,sigmoid,0.0,0.6532593619972261,0.6199095022624435
64,relu,0.3,8,relu,0.1,0.5700416088765603,0.7285067873303167
64,relu,0.3,8,relu,0.05,0.5811373092926491,0.6470588235294118
64,relu,0.3,8,relu,0.0,0.34951456310679613,0.8235294117647058
64,relu,0.3,8,linear,0.1,0.5714285714285714,0.6018099547511312
64,relu,0.3,8,linear,0.05,0.6171983356449375,0.6877828054298643
64,relu,0.3,8,linear,0.0,0.6712898751733704,0.6470588235294118
64,relu,0.3,8,tanh,0.1,0.6130374479889042,0.6606334841628959
64,relu,0.3,8,tanh,0.05,0.6601941747572816,0.6289592760180995
64,relu,0.3,8,tanh,0.0,0.6158113730929264,0.6606334841628959
64,relu,0.3,8,sigmoid,0.1,0.0,1.0
64,relu,0.3,8,sigmoid,0.05,0.0027739251040221915,0.9909502262443439
64,relu,0.3,8,sigmoid,0.0,0.130374479889043,0.9411764705882353
64,relu,0.3,4,relu,0.1,0.6435506241331485,0.6742081447963801
64,relu,0.3,4,relu,0.05,0.6532593619972261,0.6561085972850679
64,relu,0.3,4,relu,0.0,0.7212205270457698,0.3076923076923077
64,relu,0.3,4,linear,0.1,0.40221914008321774,0.669683257918552
64,relu,0.3,4,linear,0.05,0.651872399445215,0.665158371040724
64,relu,0.3,4,linear,0.0,0.6033287101248266,0.6787330316742082
64,relu,0.3,4,tanh,0.1,0.6754507628294036,0.6425339366515838
64,relu,0.3,4,tanh,0.05,0.6310679611650486,0.6787330316742082
64,relu,0.3,4,tanh,0.0,0.6615811373092927,0.6380090497737556
64,relu,0.3,4,sigmoid,0.1,0.0013869625520110957,1.0
64,relu,0.3,4,sigmoid,0.05,0.6685159500693482,0.6380090497737556
64,relu,0.3,4,sigmoid,0.0,0.04022191400832178,0.9909502262443439
64,relu,0.2,16,relu,0.1,0.492371705963939,0.6923076923076923
64,relu,0.2,16,relu,0.05,0.6005547850208044,0.6063348416289592
64,relu,0.2,16,relu,0.0,0.18862690707350901,0.8552036199095022
64,relu,0.2,16,linear,0.1,0.5672676837725381,0.746606334841629
64,relu,0.2,16,linear,0.05,0.6546463245492372,0.6515837104072398
64,relu,0.2,16,linear,0.0,0.5742024965325936,0.7013574660633484
64,relu,0.2,16,tanh,0.1,0.6671289875173371,0.6425339366515838
64,relu,0.2,16,tanh,0.05,0.680998613037448,0.6153846153846154
64,relu,0.2,16,tanh,0.0,0.5409153952843273,0.6380090497737556
64,relu,0.2,16,sigmoid,0.1,0.665742024965326,0.6334841628959276
64,relu,0.2,16,sigmoid,0.05,0.4868238557558946,0.751131221719457
64,relu,0.2,16,sigmoid,0.0,0.5312066574202496,0.7601809954751131
64,relu,0.2,8,relu,0.1,0.3092926490984743,0.7285067873303167
64,relu,0.2,8,relu,0.05,0.37447988904299584,0.7692307692307693
64,relu,0.2,8,relu,0.0,0.6490984743411928,0.6425339366515838
64,relu,0.2,8,linear,0.1,0.6116504854368932,0.6380090497737556
64,relu,0.2,8,linear,0.05,0.5811373092926491,0.665158371040724
64,relu,0.2,8,linear,0.0,0.5478502080443828,0.669683257918552
64,relu,0.2,8,tanh,0.1,0.5714285714285714,0.6561085972850679
64,relu,0.2,8,tanh,0.05,0.5353675450762829,0.7058823529411765
64,relu,0.2,8,tanh,0.0,0.5284327323162274,0.6515837104072398
64,relu,0.2,8,sigmoid,0.1,0.59500693481276,0.6923076923076923
64,relu,0.2,8,sigmoid,0.05,0.6629680998613038,0.6289592760180995
64,relu,0.2,8,sigmoid,0.0,0.4147018030513176,0.665158371040724
64,relu,0.2,4,relu,0.1,0.47434119278779474,0.7420814479638009
64,relu,0.2,4,relu,0.05,0.3287101248266297,0.8190045248868778
64,relu,0.2,4,relu,0.0,0.6699029126213593,0.6334841628959276
64,relu,0.2,4,linear,0.1,0.5034674063800277,0.7104072398190046
64,relu,0.2,4,linear,0.05,0.6255201109570042,0.6923076923076923
64,relu,0.2,4,linear,0.0,0.4840499306518724,0.665158371040724
64,relu,0.2,4,tanh,0.1,0.6352288488210819,0.6923076923076923
64,relu,0.2,4,tanh,0.05,0.579750346740638,0.6380090497737556
64,relu,0.2,4,tanh,0.0,0.6477115117891817,0.6425339366515838
64,relu,0.2,4,sigmoid,0.1,0.6574202496532594,0.6244343891402715
64,relu,0.2,4,sigmoid,0.05,0.6061026352288488,0.665158371040724
64,relu,0.2,4,sigmoid,0.0,0.0,1.0
64,relu,0.1,16,relu,0.1,0.6463245492371706,0.6561085972850679
64,relu,0.1,16,relu,0.05,0.5104022191400832,0.7375565610859729
64,relu,0.1,16,relu,0.0,0.6490984743411928,0.6470588235294118
64,relu,0.1,16,linear,0.1,0.6199722607489597,0.6515837104072398
64,relu,0.1,16,linear,0.05,0.6588072122052705,0.6515837104072398
64,relu,0.1,16,linear,0.0,0.5728155339805825,0.7058823529411765
64,relu,0.1,16,tanh,0.1,0.6435506241331485,0.665158371040724
64,relu,0.1,16,tanh,0.05,0.6893203883495146,0.6515837104072398
64,relu,0.1,16,tanh,0.0,0.5936199722607489,0.579185520361991
64,relu,0.1,16,sigmoid,0.1,0.6310679611650486,0.6742081447963801
64,relu,0.1,16,sigmoid,0.05,0.0,1.0
64,relu,0.1,16,sigmoid,0.0,0.0,1.0
64,relu,0.1,8,relu,0.1,0.579750346740638,0.6018099547511312
64,relu,0.1,8,relu,0.05,0.49375866851595007,0.7058823529411765
64,relu,0.1,8,relu,0.0,0.4798890429958391,0.7058823529411765
64,relu,0.1,8,linear,0.1,0.6601941747572816,0.5294117647058824
64,relu,0.1,8,linear,0.05,0.6490984743411928,0.6606334841628959
64,relu,0.1,8,linear,0.0,0.5700416088765603,0.7104072398190046
64,relu,0.1,8,tanh,0.1,0.6588072122052705,0.6470588235294118
64,relu,0.1,8,tanh,0.05,0.6380027739251041,0.665158371040724
64,relu,0.1,8,tanh,0.0,0.6158113730929264,0.6380090497737556
64,relu,0.1,8,sigmoid,0.1,0.26768377253814146,0.8461538461538461
64,relu,0.1,8,sigmoid,0.05,0.6435506241331485,0.6561085972850679
64,relu,0.1,8,sigmoid,0.0,0.37586685159500693,0.8280542986425339
64,relu,0.1,4,relu,0.1,0.31900138696255204,0.7058823529411765
64,relu,0.1,4,relu,0.05,0.5617198335644937,0.6063348416289592
64,relu,0.1,4,relu,0.0,0.5325936199722607,0.7149321266968326
64,relu,0.1,4,linear,0.1,0.5769764216366158,0.6515837104072398
64,relu,0.1,4,linear,0.05,0.6171983356449375,0.6199095022624435
64,relu,0.1,4,linear,0.0,0.39389736477115117,0.6334841628959276
64,relu,0.1,4,tanh,0.1,0.6393897364771152,0.6515837104072398
64,relu,0.1,4,tanh,0.05,0.5312066574202496,0.6380090497737556
64,relu,0.1,4,tanh,0.0,0.43134535367545074,0.6561085972850679
64,relu,0.1,4,sigmoid,0.1,0.0,1.0
64,relu,0.1,4,sigmoid,0.05,0.6962552011095701,0.6199095022624435
64,relu,0.1,4,sigmoid,0.0,0.6199722607489597,0.6832579185520362
64,linear,0.3,16,relu,0.1,0.6116504854368932,0.6923076923076923
64,linear,0.3,16,relu,0.05,0.6255201109570042,0.6787330316742082
64,linear,0.3,16,relu,0.0,0.665742024965326,0.669683257918552
64,linear,0.3,16,linear,0.1,0.6837725381414702,0.6289592760180995
64,linear,0.3,16,linear,0.05,0.6449375866851595,0.6289592760180995
64,linear,0.3,16,linear,0.0,0.579750346740638,0.6742081447963801
64,linear,0.3,16,tanh,0.1,0.6560332871012483,0.6425339366515838
64,linear,0.3,16,tanh,0.05,0.6601941747572816,0.6380090497737556
64,linear,0.3,16,tanh,0.0,0.6490984743411928,0.6289592760180995
64,linear,0.3,16,sigmoid,0.1,0.6712898751733704,0.6380090497737556
64,linear,0.3,16,sigmoid,0.05,0.0,1.0
64,linear,0.3,16,sigmoid,0.0,0.0,1.0
64,linear,0.3,8,relu,0.1,0.536754507628294,0.6742081447963801
64,linear,0.3,8,relu,0.05,0.4368932038834951,0.6787330316742082
64,linear,0.3,8,relu,0.0,0.492371705963939,0.7330316742081447
64,linear,0.3,8,linear,0.1,0.6338418862690708,0.6515837104072398
64,linear,0.3,8,linear,0.05,0.6837725381414702,0.6153846153846154
64,linear,0.3,8,linear,0.0,0.6782246879334258,0.6470588235294118
64,linear,0.3,8,tanh,0.1,0.6685159500693482,0.6380090497737556
64,linear,0.3,8,tanh,0.05,0.6546463245492372,0.6470588235294118
64,linear,0.3,8,tanh,0.0,0.6699029126213593,0.6289592760180995
64,linear,0.3,8,sigmoid,0.1,0.13869625520110956,0.9638009049773756
64,linear,0.3,8,sigmoid,0.05,0.6199722607489597,0.6832579185520362
64,linear,0.3,8,sigmoid,0.0,0.4188626907073509,0.7963800904977375
64,linear,0.3,4,relu,0.1,0.6504854368932039,0.6289592760180995
64,linear,0.3,4,relu,0.05,0.6560332871012483,0.6561085972850679
64,linear,0.3,4,relu,0.0,0.5298196948682385,0.665158371040724
64,linear,0.3,4,linear,0.1,0.6823855755894591,0.6561085972850679
64,linear,0.3,4,linear,0.05,0.6629680998613038,0.6380090497737556
64,linear,0.3,4,linear,0.0,0.6865464632454924,0.6244343891402715
64,linear,0.3,4,tanh,0.1,0.6615811373092927,0.6606334841628959
64,linear,0.3,4,tanh,0.05,0.6504854368932039,0.665158371040724
64,linear,0.3,4,tanh,0.0,0.6976421636615812,0.6515837104072398
64,linear,0.3,4,sigmoid,0.1,0.5589459084604715,0.7375565610859729
64,linear,0.3,4,sigmoid,0.05,0.0,1.0
64,linear,0.3,4,sigmoid,0.0,0.4895977808599168,0.7420814479638009
64,linear,0.2,16,relu,0.1,0.3550624133148405,0.7692307692307693
64,linear,0.2,16,relu,0.05,0.6712898751733704,0.6334841628959276
64,linear,0.2,16,relu,0.0,0.5963938973647711,0.6334841628959276
64,linear,0.2,16,linear,0.1,0.6643550624133149,0.665158371040724
64,linear,0.2,16,linear,0.05,0.6407766990291263,0.6832579185520362
64,linear,0.2,16,linear,0.0,0.6990291262135923,0.6334841628959276
64,linear,0.2,16,tanh,0.1,0.6712898751733704,0.6606334841628959
64,linear,0.2,16,tanh,0.05,0.6615811373092927,0.6380090497737556
64,linear,0.2,16,tanh,0.0,0.6699029126213593,0.6244343891402715
64,linear,0.2,16,sigmoid,0.1,0.3356449375866852,0.8461538461538461
64,linear,0.2,16,sigmoid,0.05,0.6282940360610264,0.6832579185520362
64,linear,0.2,16,sigmoid,0.0,0.6532593619972261,0.6606334841628959
64,linear,0.2,8,relu,0.1,0.6324549237170597,0.669683257918552
64,linear,0.2,8,relu,0.05,0.6754507628294036,0.6515837104072398
64,linear,0.2,8,relu,0.0,0.3814147018030513,0.7375565610859729
64,linear,0.2,8,linear,0.1,0.5936199722607489,0.6425339366515838
