u1,a1,d1,u2,a2,d2,threshold,recall_0_specificity,recall_1_sensitivity,precision_1_ppv,f1_1,accuracy,balanced_accuracy,screening_score,TP,FP,TN,FN,n_seeds_ensemble
64,tanh,0.3,8,relu,0.1,0.45,0.24549237170596394,0.9411764705882353,0.2765957446808511,0.42754367934224047,0.40870488322717624,0.5933344211470997,0.8573067669538379,208,544,177,13,3
32,relu,0.3,16,relu,0.0,0.45,0.2260748959778086,0.9502262443438914,0.2734375,0.4246713852376138,0.39596602972399153,0.58815057016085,0.8542072867701971,210,558,163,11,3
64,relu,0.3,16,tanh,0.1,0.45,0.27184466019417475,0.9321266968325792,0.2818057455540356,0.4327731092436975,0.4267515923566879,0.601985678513377,0.8534905175575622,206,525,196,15,3
32,tanh,0.3,8,relu,0.1,0.45,0.18307905686546463,0.9728506787330317,0.26741293532338306,0.4195121951219512,0.36836518046709127,0.5779648677992482,0.849677645249131,215,589,132,6,3
64,relu,0.2,16,tanh,0.0,0.45,0.2538141470180305,0.9276018099547512,0.2759084791386272,0.42531120331950206,0.4118895966029724,0.5907079784863909,0.8480729503295804,205,538,183,16,3
32,tanh,0.2,8,relu,0.1,0.4,0.19694868238557559,0.9592760180995475,0.26801517067003794,0.4189723320158103,0.37579617834394907,0.5781123502425616,0.8455350683037264,212,579,142,9,3
32,tanh,0.3,16,relu,0.0,0.45,0.23855755894590847,0.9321266968325792,0.2728476821192053,0.42213114754098363,0.4012738853503185,0.5853421278892439,0.8452345871495308,206,549,172,15,3
32,tanh,0.2,16,relu,0.0,0.45,0.21636615811373092,0.9457013574660633,0.27002583979328165,0.4201005025125628,0.3874734607218684,0.5810337577898971,0.8445837935014218,209,565,156,12,3
64,relu,0.3,8,relu,0.1,0.45,0.21497919556171982,0.9457013574660633,0.2696774193548387,0.41967871485943775,0.386411889596603,0.5803402765138915,0.8437861892459891,209,566,155,12,3
64,tanh,0.3,8,relu,0.0,0.4,0.16920943134535368,0.9728506787330317,0.2641277641277641,0.41545893719806765,0.35774946921443734,0.5710300550391927,0.8417135446861317,215,599,122,6,3
32,relu,0.3,8,tanh,0.0,0.45,0.27600554785020803,0.918552036199095,0.28,0.42917547568710357,0.4267515923566879,0.5972787920246515,0.8416861247262161,203,522,199,18,3
64,tanh,0.2,8,relu,0.1,0.45,0.31900138696255204,0.9140271493212669,0.29148629148629146,0.4420131291028446,0.4585987261146497,0.6165142681419095,0.8409731521096454,202,491,230,19,3
64,relu,0.3,16,tanh,0.0,0.4,0.14285714285714285,0.9864253393665159,0.2607655502392344,0.41248817407757804,0.34076433121019106,0.5646412411118293,0.8387002316568879,218,618,103,3,3
64,relu,0.2,8,relu,0.0,0.45,0.2829403606102635,0.9140271493212669,0.2809457579972184,0.4297872340425532,0.4309978768577495,0.5984837549657652,0.8381770585191638,202,517,204,19,3
32,relu,0.3,8,relu,0.1,0.45,0.2787794729542302,0.9140271493212669,0.27977839335180055,0.4284199363732768,0.4278131634819533,0.5964033111377486,0.8378573633810767,202,520,201,19,3
64,relu,0.2,16,tanh,0.1,0.45,0.21081830790568654,0.9411764705882353,0.2676962676962677,0.4168336673346693,0.3821656050955414,0.5759973892469609,0.8373553226066075,208,569,152,13,3
32,relu,0.2,8,relu,0.1,0.45,0.3120665742024965,0.9095022624434389,0.2883787661406026,0.43790849673202614,0.45222929936305734,0.6107844183229677,0.8363887113708122,201,496,225,20,3
32,tanh,0.2,8,tanh,0.1,0.4,0.1664355062413315,0.9683257918552036,0.2625766871165644,0.41312741312741313,0.35456475583864117,0.5673806490482676,0.8360851815547187,214,601,120,7,3
32,relu,0.3,16,tanh,0.1,0.45,0.3079056865464632,0.9095022624434389,0.28714285714285714,0.4364820846905538,0.44904458598726116,0.6087039744949511,0.8360649035715855,201,499,222,20,3
