[Iter 1] UMAP-Gower: n_n=3, min_d=0.01, spread=0.3 -> DBSCAN eps=0.5, min_s=5 (silhouette=0.504)
[Iter 2] UMAP-Gower: n_n=3, min_d=0.01, spread=0.5 -> DBSCAN eps=0.5, min_s=5 (silhouette=0.519)
[Iter 3] UMAP-Gower: n_n=3, min_d=0.01, spread=2 -> DBSCAN eps=2, min_s=5 (silhouette=0.703)
[Iter 4] UMAP-Gower: n_n=3, min_d=0.01, spread=5 -> DBSCAN eps=2, min_s=5 (silhouette=0.627)
[Iter 5] UMAP-Gower: n_n=3, min_d=0.01, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.461)
[Iter 6] UMAP-Gower: n_n=3, min_d=0.1, spread=0.3 -> DBSCAN eps=0.1, min_s=3 (silhouette=0.510)
[Iter 7] UMAP-Gower: n_n=3, min_d=0.1, spread=0.5 -> DBSCAN eps=2, min_s=5 (silhouette=0.533)
[Iter 8] UMAP-Gower: n_n=3, min_d=0.1, spread=2 -> DBSCAN eps=0.5, min_s=5 (silhouette=0.702)
[Iter 9] UMAP-Gower: n_n=3, min_d=0.1, spread=5 -> DBSCAN eps=2, min_s=5 (silhouette=0.708)
[Iter 10] UMAP-Gower: n_n=3, min_d=0.1, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.453)
[Iter 11] UMAP-Gower: n_n=3, min_d=0.5, spread=0.5 -> DBSCAN eps=0.5, min_s=5 (silhouette=0.555)
[Iter 12] UMAP-Gower: n_n=3, min_d=0.5, spread=2 -> DBSCAN eps=2, min_s=5 (silhouette=0.629)
[Iter 13] UMAP-Gower: n_n=3, min_d=0.5, spread=5 -> DBSCAN eps=2, min_s=3 (silhouette=0.646)
[Iter 14] UMAP-Gower: n_n=3, min_d=0.5, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.425)
[Iter 15] UMAP-Gower: n_n=3, min_d=2, spread=2 -> DBSCAN eps=2, min_s=5 (silhouette=0.438)
[Iter 16] UMAP-Gower: n_n=3, min_d=2, spread=5 -> DBSCAN eps=2, min_s=5 (silhouette=0.538)
[Iter 17] UMAP-Gower: n_n=3, min_d=2, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.405)
[Iter 18] UMAP-Gower: n_n=3, min_d=10, spread=15 -> DBSCAN eps=10, min_s=15 (silhouette=0.337)
[Iter 19] UMAP-Gower: n_n=5, min_d=0.01, spread=0.3 -> DBSCAN eps=0.1, min_s=3 (silhouette=0.514)
[Iter 20] UMAP-Gower: n_n=5, min_d=0.01, spread=0.5 -> DBSCAN eps=2, min_s=3 (silhouette=0.528)
[Iter 21] UMAP-Gower: n_n=5, min_d=0.01, spread=2 -> DBSCAN eps=0.5, min_s=5 (silhouette=0.814)
[Iter 22] UMAP-Gower: n_n=5, min_d=0.01, spread=5 -> DBSCAN eps=2, min_s=3 (silhouette=0.813)
[Iter 23] UMAP-Gower: n_n=5, min_d=0.01, spread=15 -> DBSCAN eps=10, min_s=3 (silhouette=0.535)
[Iter 24] UMAP-Gower: n_n=5, min_d=0.1, spread=0.3 -> DBSCAN eps=0.1, min_s=3 (silhouette=0.494)
