umap_1,umap_2,umap_3,cluster
-8.279517,4.240156,2.6796715,0
10.078565,-6.1476254,-6.5784917,1
23.133938,-13.754403,0.89384824,2
-8.3090515,4.325134,2.839835,0
-8.155433,4.561926,3.167857,0
-8.231174,4.441238,3.036691,0
-8.019107,4.623403,3.2453609,0
16.598204,5.8532767,5.1345425,3
16.853666,6.1036396,4.9834156,3
-8.224726,4.4680557,3.1986785,0
10.078299,-6.148152,-6.5781136,1
-8.304942,4.2222733,2.6530194,0
-8.303566,4.27167,2.78239,0
-8.300474,4.435427,3.139519,0
16.350761,5.025723,8.739197,3
17.084908,5.634329,4.677593,3
14.232592,3.6613832,2.575725,3
15.22773,7.8980584,5.4919605,3
-8.154287,4.4676557,3.193227,0
16.38931,5.6637263,5.2114496,3
-8.270173,4.3465886,2.8701558,0
-8.211897,4.334426,2.8100467,0
14.696515,7.9642,5.40302,3
17.803293,6.309048,4.725025,3
-8.196459,4.3358064,3.0656102,0
26.052465,7.2714496,-15.362893,4
16.404478,6.3379817,4.032901,3
-8.189697,4.5491624,3.1269987,0
-8.165354,4.3010664,3.0635948,0
-8.235276,4.4098682,2.8648636,0
22.919605,-13.889059,0.7404965,2
-8.240647,4.586384,3.2027946,0
23.696482,-14.857034,1.2552794,2
-8.12344,4.5459847,3.15216,0
15.941753,18.455608,7.5839896,5
-8.139717,4.552164,3.2218065,0
16.547867,5.442433,6.6798706,3
-8.035658,4.614535,3.1933095,0
-8.228777,4.313062,3.1109045,0
18.194147,6.4975166,4.610027,3
-8.100871,4.4573607,3.2710445,0
-8.174346,4.4422216,3.1123087,0
15.941159,18.455338,7.5842557,5
-8.199514,4.3130097,3.1425383,0
23.134497,-13.798785,0.8866322,2
15.800641,6.5863504,3.136309,3
16.396566,6.3402915,4.027679,3
-8.160606,4.3896403,3.1707907,0
-8.157988,4.5764,3.2015533,0
-8.16025,4.4711046,3.0690615,0
18.137642,6.318021,4.7897687,3
16.591457,5.537526,6.554102,3
-8.079166,4.634945,3.227209,0
-8.172528,4.4836726,3.184852,0
-8.109404,4.5384336,3.1958823,0
26.052483,7.2711143,-15.362813,4
12.592754,14.998546,-9.1454,6
-8.218837,4.431304,3.0206397,0
15.970455,18.453814,7.558769,5
12.587209,15.0051775,-9.140838,6
14.233073,3.662426,2.5767384,3
10.640641,-6.5831738,-5.790127,1
16.350344,5.0261145,8.739554,3
25.57457,6.7864647,-15.075313,4
-7.999517,4.6422796,3.2267518,0
14.266248,3.737807,2.6457348,3
-8.133247,4.5234337,3.120447,0
16.349792,5.026562,8.740093,3
19.092052,0.019044098,24.122467,7
-8.212266,4.547842,3.1571496,0
19.09204,0.019027913,24.12245,7
19.089289,0.01621161,24.126427,7
16.401306,6.3384924,4.031787,3
-8.1699505,4.5616918,3.16681,0
-8.11874,4.5386777,3.180184,0
-8.064494,4.651522,3.1812375,0
-8.030071,4.6315656,3.1831872,0
14.260414,3.733773,2.6532164,3
16.839397,4.6959157,4.58292,3
-8.095823,4.5997677,3.22351,0
16.839495,4.696814,4.5831747,3
-8.130485,4.545858,3.1387794,0
16.560534,5.423392,6.7257214,3
12.591037,15.001986,-9.142896,6
-8.0807495,4.610054,3.1808476,0
-8.069805,4.592535,3.1841974,0
-8.060489,4.6414385,3.2135446,0
-8.1224575,4.610031,3.1625247,0
-8.092183,4.637174,3.1884935,0
17.957966,6.278201,4.790192,3
13.291699,-6.6340275,0.72165275,1
-8.081548,4.644918,3.2160285,0
16.83934,4.696603,4.5833373,3
25.881926,7.092782,-15.266882,4
10.668433,-6.6080403,-5.7510667,1
25.920303,7.1315155,-15.291382,4
12.601026,14.99164,-9.151389,6
